Date,Symbol,Price,Available Supply,Unlocked Supply,Reserved (TBD),Founder / Team,Community & Other
Oct 03 2025,BONK,0,98275547445255.20,77175547445255.20,21100000000000.00,19275547445255.21,57900000000000.00
Oct 02 2025,BONK,0,98256386861313.60,77156386861313.60,21100000000000.00,19256386861313.60,57900000000000.00
Sep 30 2025,BONK,0,98218065693430.40,77118065693430.39,21100000000000.00,19218065693430.39,57900000000000.00
Sep 29 2025,BONK,0,98198905109488.78,77098905109488.78,21100000000000.00,19198905109488.79,57900000000000.00
Sep 28 2025,BONK,0,98179744525547.20,77079744525547.19,21100000000000.00,19179744525547.18,57900000000000.00
Sep 26 2025,BONK,0,98141423357663.95,77041423357663.97,21100000000000.00,19141423357663.97,57900000000000.00
Sep 25 2025,BONK,0,98122262773722.36,77022262773722.36,21100000000000.00,19122262773722.36,57900000000000.00
Sep 23 2025,BONK,0,98083941605839.16,76983941605839.16,21100000000000.00,19083941605839.15,57900000000000.00
Sep 22 2025,BONK,0,98064781021897.56,76964781021897.55,21100000000000.00,19064781021897.55,57900000000000.00
Sep 21 2025,BONK,0,98045620437955.94,76945620437955.94,21100000000000.00,19045620437955.94,57900000000000.00
Sep 19 2025,BONK,0,98007299270072.72,76907299270072.73,21100000000000.00,19007299270072.73,57900000000000.00
Sep 18 2025,BONK,0,97988138686131.12,76888138686131.12,21100000000000.00,18988138686131.13,57900000000000.00
Sep 16 2025,BONK,0,97949817518247.90,76849817518247.90,21100000000000.00,18949817518247.92,57900000000000.00
Sep 15 2025,BONK,0,97930656934306.31,76830656934306.31,21100000000000.00,18930656934306.31,57900000000000.00
Sep 13 2025,BONK,0,97892335766423.10,76792335766423.10,21100000000000.00,18892335766423.10,57900000000000.00
Sep 12 2025,BONK,0,97873175182481.50,76773175182481.50,21100000000000.00,18873175182481.49,57900000000000.00
Sep 11 2025,BONK,0,97854014598539.88,76754014598539.89,21100000000000.00,18854014598539.89,57900000000000.00
Sep 09 2025,BONK,0,97815693430656.69,76715693430656.67,21100000000000.00,18815693430656.68,57900000000000.00
Sep 08 2025,BONK,0,97796532846715.06,76696532846715.06,21100000000000.00,18796532846715.07,57900000000000.00
Sep 06 2025,BONK,0,97758211678831.86,76658211678831.86,21100000000000.00,18758211678831.86,57900000000000.00
Sep 05 2025,BONK,0,97739051094890.23,76639051094890.25,21100000000000.00,18739051094890.26,57900000000000.00
Sep 04 2025,BONK,0,97719890510948.66,76619890510948.66,21100000000000.00,18719890510948.65,57900000000000.00
Sep 02 2025,BONK,0,97681569343065.44,76581569343065.44,21100000000000.00,18681569343065.44,57900000000000.00
Sep 01 2025,BONK,0,97662408759123.84,76562408759123.83,21100000000000.00,18662408759123.83,57900000000000.00
Aug 30 2025,BONK,0,97624087591240.62,76524087591240.62,21100000000000.00,18624087591240.62,57900000000000.00
Aug 29 2025,BONK,0,97604927007299.02,76504927007299.02,21100000000000.00,18604927007299.02,57900000000000.00
Aug 27 2025,BONK,0,97566605839415.80,76466605839415.81,21100000000000.00,18566605839415.81,57900000000000.00
Aug 26 2025,BONK,0,97547445255474.20,76447445255474.20,21100000000000.00,18547445255474.20,57900000000000.00
Aug 25 2025,BONK,0,97528284671532.60,76428284671532.60,21100000000000.00,18528284671532.60,57900000000000.00
Aug 23 2025,BONK,0,97489963503649.38,76389963503649.38,21100000000000.00,18489963503649.38,57900000000000.00
Aug 22 2025,BONK,0,97470802919707.78,76370802919707.78,21100000000000.00,18470802919707.78,57900000000000.00
Aug 20 2025,BONK,0,97432481751824.56,76332481751824.56,21100000000000.00,18432481751824.57,57900000000000.00
Aug 19 2025,BONK,0,97413321167882.95,76313321167882.97,21100000000000.00,18413321167882.96,57900000000000.00
Aug 18 2025,BONK,0,97394160583941.36,76294160583941.36,21100000000000.00,18394160583941.36,57900000000000.00
Aug 16 2025,BONK,0,97355839416058.14,76255839416058.14,21100000000000.00,18355839416058.15,57900000000000.00
Aug 15 2025,BONK,0,97336678832116.52,76236678832116.53,21100000000000.00,18336678832116.54,57900000000000.00
Aug 13 2025,BONK,0,97298357664233.31,76198357664233.33,21100000000000.00,18298357664233.33,57900000000000.00
Aug 12 2025,BONK,0,97279197080291.72,76179197080291.72,21100000000000.00,18279197080291.72,57900000000000.00
Aug 10 2025,BONK,0,97240875912408.52,76140875912408.52,21100000000000.00,18240875912408.51,57900000000000.00
Aug 09 2025,BONK,0,97221715328466.90,76121715328466.90,21100000000000.00,18221715328466.91,57900000000000.00
Aug 08 2025,BONK,0,97202554744525.30,76102554744525.30,21100000000000.00,18202554744525.30,57900000000000.00
Aug 06 2025,BONK,0,97164233576642.10,76064233576642.10,21100000000000.00,18164233576642.09,57900000000000.00
Aug 05 2025,BONK,0,97145072992700.48,76045072992700.48,21100000000000.00,18145072992700.49,57900000000000.00
Aug 03 2025,BONK,0,97106751824817.28,76006751824817.28,21100000000000.00,18106751824817.27,57900000000000.00
Aug 02 2025,BONK,0,97087591240875.69,75987591240875.67,21100000000000.00,18087591240875.67,57900000000000.00
Aug 01 2025,BONK,0,97068430656934.06,75968430656934.06,21100000000000.00,18068430656934.06,57900000000000.00
Jul 30 2025,BONK,0,97030109489050.84,75930109489050.84,21100000000000.00,18030109489050.85,57900000000000.00
Jul 29 2025,BONK,0,97010948905109.23,75910948905109.25,21100000000000.00,18010948905109.25,57900000000000.00
Jul 27 2025,BONK,0,96972627737226.05,75872627737226.03,21100000000000.00,17972627737226.04,57900000000000.00
Jul 26 2025,BONK,0,96953467153284.44,75853467153284.44,21100000000000.00,17953467153284.43,57900000000000.00
Jul 25 2025,BONK,0,96934306569342.84,75834306569342.83,21100000000000.00,17934306569342.83,57900000000000.00
Jul 23 2025,BONK,0,96895985401459.60,75795985401459.61,21100000000000.00,17895985401459.61,57900000000000.00
Jul 22 2025,BONK,0,96876824817518.00,75776824817518.00,21100000000000.00,17876824817518.01,57900000000000.00
