Date,Symbol,Price,Available Supply,Unlocked Supply,Community & Other (TBD),Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Nov 10 2025,COW,0,985453952.76,469878707.76,515575245.00,149684848.16,94756779.47,44664987.76,8000000.00,172772092.36
Nov 08 2025,COW,0,984894489.41,469319244.41,515575245.00,149467598.75,94619251.49,44600161.95,8000000.00,172632232.22
Nov 06 2025,COW,0,984335026.05,468759781.05,515575245.00,149250349.33,94481723.51,44535336.13,8000000.00,172492372.08
Nov 04 2025,COW,0,983775562.70,468200317.70,515575245.00,149033099.91,94344195.53,44470510.31,8000000.00,172352511.94
Nov 02 2025,COW,0,983216099.34,467640854.34,515575245.00,148815850.50,94206667.55,44405684.50,8000000.00,172212651.80
Nov 01 2025,COW,0,982936367.67,467361122.67,515575245.00,148707225.79,94137903.55,44373271.59,8000000.00,172142721.73
Oct 30 2025,COW,0,982376904.31,466801659.31,515575245.00,148489976.37,94000375.57,44308445.77,8000000.00,172002861.59
Oct 28 2025,COW,0,981817440.95,466242195.95,515575245.00,148272726.95,93862847.59,44243619.95,8000000.00,171863001.45
Oct 26 2025,COW,0,981257977.60,465682732.60,515575245.00,148055477.54,93725319.61,44178794.14,8000000.00,171723141.31
Oct 24 2025,COW,0,980698514.24,465123269.24,515575245.00,147838228.12,93587791.63,44113968.32,8000000.00,171583281.17
Oct 23 2025,COW,0,980418782.57,464843537.57,515575245.00,147729603.41,93519027.64,44081555.41,8000000.00,171513351.10
Oct 21 2025,COW,0,979859319.21,464284074.21,515575245.00,147512354.00,93381499.65,44016729.60,8000000.00,171373490.97
Oct 19 2025,COW,0,979299855.86,463724610.86,515575245.00,147295104.58,93243971.67,43951903.78,8000000.00,171233630.83
Oct 17 2025,COW,0,978740392.50,463165147.50,515575245.00,147077855.16,93106443.69,43887077.96,8000000.00,171093770.69
Oct 15 2025,COW,0,978180929.15,462605684.15,515575245.00,146860605.75,92968915.71,43822252.15,8000000.00,170953910.55
Oct 14 2025,COW,0,977901197.47,462325952.47,515575245.00,146751981.04,92900151.72,43789839.24,8000000.00,170883980.48
Oct 12 2025,COW,0,977341734.11,461766489.11,515575245.00,146534731.62,92762623.74,43725013.42,8000000.00,170744120.34
Oct 10 2025,COW,0,976782270.76,461207025.76,515575245.00,146317482.20,92625095.75,43660187.60,8000000.00,170604260.20
Oct 08 2025,COW,0,976222807.40,460647562.40,515575245.00,146100232.79,92487567.77,43595361.79,8000000.00,170464400.06
Oct 06 2025,COW,0,975663344.05,460088099.05,515575245.00,145882983.37,92350039.79,43530535.97,8000000.00,170324539.92
Oct 04 2025,COW,0,975103880.69,459528635.69,515575245.00,145665733.95,92212511.81,43465710.15,8000000.00,170184679.78
Oct 03 2025,COW,0,974824149.01,459248904.01,515575245.00,145557109.24,92143747.82,43433297.24,8000000.00,170114749.71
Oct 01 2025,COW,0,974264685.66,458689440.66,515575245.00,145339859.83,92006219.84,43368471.43,8000000.00,169974889.57
Sep 29 2025,COW,0,973705222.30,458129977.30,515575245.00,145122610.41,91868691.85,43303645.61,8000000.00,169835029.43
Sep 27 2025,COW,0,973145758.95,457570513.95,515575245.00,144905360.99,91731163.87,43238819.79,8000000.00,169695169.29
Sep 25 2025,COW,0,972586295.59,457011050.59,515575245.00,144688111.58,91593635.89,43173993.98,8000000.00,169555309.15
Sep 24 2025,COW,0,972306563.92,456731318.92,515575245.00,144579486.87,91524871.90,43141581.07,8000000.00,169485379.08
Sep 22 2025,COW,0,971747100.56,456171855.56,515575245.00,144362237.45,91387343.92,43076755.25,8000000.00,169345518.94
Sep 20 2025,COW,0,971187637.20,455612392.20,515575245.00,144144988.04,91249815.94,43011929.44,8000000.00,169205658.80
Sep 18 2025,COW,0,970628173.85,455052928.85,515575245.00,143927738.62,91112287.95,42947103.62,8000000.00,169065798.66
Sep 16 2025,COW,0,970068710.49,454493465.49,515575245.00,143710489.20,90974759.97,42882277.80,8000000.00,168925938.52
Sep 15 2025,COW,0,969788978.82,454213733.82,515575245.00,143601864.49,90905995.98,42849864.89,8000000.00,168856008.45
Sep 13 2025,COW,0,969229515.46,453654270.46,515575245.00,143384615.08,90768468.00,42785039.08,8000000.00,168716148.31
Sep 11 2025,COW,0,968670052.11,453094807.11,515575245.00,143167365.66,90630940.02,42720213.26,8000000.00,168576288.17
Sep 09 2025,COW,0,968110588.75,452535343.75,515575245.00,142950116.24,90493412.04,42655387.44,8000000.00,168436428.03
Sep 07 2025,COW,0,967551125.40,451975880.40,515575245.00,142732866.83,90355884.05,42590561.63,8000000.00,168296567.89
Sep 06 2025,COW,0,967271393.72,451696148.72,515575245.00,142624242.12,90287120.06,42558148.72,8000000.00,168226637.82
