Date,Symbol,Price,Available Supply,Unlocked Supply,Reserved (TBD),Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
May 08 2027,NTRN,0,981719178.08,571719178.08,410000000.00,227633561.64,104085616.44,20000000.00,100000000.00,120000000.00
May 06 2027,NTRN,0,981098173.52,571098173.52,410000000.00,227213470.32,103884703.20,20000000.00,100000000.00,120000000.00
May 04 2027,NTRN,0,980477168.95,570477168.95,410000000.00,226793379.00,103683789.95,20000000.00,100000000.00,120000000.00
May 02 2027,NTRN,0,979856164.38,569856164.38,410000000.00,226373287.67,103482876.71,20000000.00,100000000.00,120000000.00
Apr 30 2027,NTRN,0,979235159.82,569235159.82,410000000.00,225953196.35,103281963.47,20000000.00,100000000.00,120000000.00
Apr 28 2027,NTRN,0,978614155.25,568614155.25,410000000.00,225533105.02,103081050.23,20000000.00,100000000.00,120000000.00
Apr 27 2027,NTRN,0,978303652.97,568303652.97,410000000.00,225323059.36,102980593.61,20000000.00,100000000.00,120000000.00
Apr 25 2027,NTRN,0,977682648.40,567682648.40,410000000.00,224902968.04,102779680.37,20000000.00,100000000.00,120000000.00
Apr 23 2027,NTRN,0,977061643.84,567061643.84,410000000.00,224482876.71,102578767.12,20000000.00,100000000.00,120000000.00
Apr 21 2027,NTRN,0,976440639.27,566440639.27,410000000.00,224062785.39,102377853.88,20000000.00,100000000.00,120000000.00
Apr 19 2027,NTRN,0,975819634.70,565819634.70,410000000.00,223642694.06,102176940.64,20000000.00,100000000.00,120000000.00
Apr 17 2027,NTRN,0,975198630.14,565198630.14,410000000.00,223222602.74,101976027.40,20000000.00,100000000.00,120000000.00
Apr 15 2027,NTRN,0,974577625.57,564577625.57,410000000.00,222802511.42,101775114.16,20000000.00,100000000.00,120000000.00
Apr 13 2027,NTRN,0,973956621.00,563956621.00,410000000.00,222382420.09,101574200.91,20000000.00,100000000.00,120000000.00
Apr 11 2027,NTRN,0,973335616.44,563335616.44,410000000.00,221962328.77,101373287.67,20000000.00,100000000.00,120000000.00
Apr 10 2027,NTRN,0,973025114.16,563025114.16,410000000.00,221752283.11,101272831.05,20000000.00,100000000.00,120000000.00
Apr 08 2027,NTRN,0,972404109.59,562404109.59,410000000.00,221332191.78,101071917.81,20000000.00,100000000.00,120000000.00
Apr 06 2027,NTRN,0,971783105.02,561783105.02,410000000.00,220912100.46,100871004.57,20000000.00,100000000.00,120000000.00
Apr 04 2027,NTRN,0,971162100.46,561162100.46,410000000.00,220492009.13,100670091.32,20000000.00,100000000.00,120000000.00
Apr 02 2027,NTRN,0,970541095.89,560541095.89,410000000.00,220071917.81,100469178.08,20000000.00,100000000.00,120000000.00
Mar 31 2027,NTRN,0,969920091.32,559920091.32,410000000.00,219651826.48,100268264.84,20000000.00,100000000.00,120000000.00
Mar 29 2027,NTRN,0,969299086.76,559299086.76,410000000.00,219231735.16,100067351.60,20000000.00,100000000.00,120000000.00
Mar 27 2027,NTRN,0,968678082.19,558678082.19,410000000.00,218811643.84,99866438.36,20000000.00,100000000.00,120000000.00
Mar 26 2027,NTRN,0,968367579.91,558367579.91,410000000.00,218601598.17,99765981.74,20000000.00,100000000.00,120000000.00
Mar 24 2027,NTRN,0,967746575.34,557746575.34,410000000.00,218181506.85,99565068.49,20000000.00,100000000.00,120000000.00
Mar 22 2027,NTRN,0,967125570.78,557125570.78,410000000.00,217761415.53,99364155.25,20000000.00,100000000.00,120000000.00
Mar 20 2027,NTRN,0,966504566.21,556504566.21,410000000.00,217341324.20,99163242.01,20000000.00,100000000.00,120000000.00
Mar 18 2027,NTRN,0,965883561.64,555883561.64,410000000.00,216921232.88,98962328.77,20000000.00,100000000.00,120000000.00
Mar 16 2027,NTRN,0,965262557.08,555262557.08,410000000.00,216501141.55,98761415.53,20000000.00,100000000.00,120000000.00
Mar 14 2027,NTRN,0,964641552.51,554641552.51,410000000.00,216081050.23,98560502.28,20000000.00,100000000.00,120000000.00
Mar 12 2027,NTRN,0,964020547.95,554020547.95,410000000.00,215660958.90,98359589.04,20000000.00,100000000.00,120000000.00
Mar 11 2027,NTRN,0,963710045.66,553710045.66,410000000.00,215450913.24,98259132.42,20000000.00,100000000.00,120000000.00
Mar 09 2027,NTRN,0,963089041.10,553089041.10,410000000.00,215030821.92,98058219.18,20000000.00,100000000.00,120000000.00
Mar 07 2027,NTRN,0,962468036.53,552468036.53,410000000.00,214610730.59,97857305.94,20000000.00,100000000.00,120000000.00
Mar 05 2027,NTRN,0,961847031.96,551847031.96,410000000.00,214190639.27,97656392.69,20000000.00,100000000.00,120000000.00
Mar 03 2027,NTRN,0,961226027.40,551226027.40,410000000.00,213770547.95,97455479.45,20000000.00,100000000.00,120000000.00
Mar 01 2027,NTRN,0,960605022.83,550605022.83,410000000.00,213350456.62,97254566.21,20000000.00,100000000.00,120000000.00
Feb 27 2027,NTRN,0,959984018.26,549984018.26,410000000.00,212930365.30,97053652.97,20000000.00,100000000.00,120000000.00
Feb 25 2027,NTRN,0,959363013.70,549363013.70,410000000.00,212510273.97,96852739.73,20000000.00,100000000.00,120000000.00
Feb 24 2027,NTRN,0,959052511.42,549052511.42,410000000.00,212300228.31,96752283.11,20000000.00,100000000.00,120000000.00
Feb 22 2027,NTRN,0,958431506.85,548431506.85,410000000.00,211880136.99,96551369.86,20000000.00,100000000.00,120000000.00
Feb 20 2027,NTRN,0,957810502.28,547810502.28,410000000.00,211460045.66,96350456.62,20000000.00,100000000.00,120000000.00
Feb 18 2027,NTRN,0,957189497.72,547189497.72,410000000.00,211039954.34,96149543.38,20000000.00,100000000.00,120000000.00
Feb 16 2027,NTRN,0,956568493.15,546568493.15,410000000.00,210619863.01,95948630.14,20000000.00,100000000.00,120000000.00
Feb 14 2027,NTRN,0,955947488.58,545947488.58,410000000.00,210199771.69,95747716.89,20000000.00,100000000.00,120000000.00
Feb 12 2027,NTRN,0,955326484.02,545326484.02,410000000.00,209779680.37,95546803.65,20000000.00,100000000.00,120000000.00
Feb 10 2027,NTRN,0,954705479.45,544705479.45,410000000.00,209359589.04,95345890.41,20000000.00,100000000.00,120000000.00
Feb 09 2027,NTRN,0,954394977.17,544394977.17,410000000.00,209149543.38,95245433.79,20000000.00,100000000.00,120000000.00
Feb 07 2027,NTRN,0,953773972.60,543773972.60,410000000.00,208729452.05,95044520.55,20000000.00,100000000.00,120000000.00
Feb 05 2027,NTRN,0,953152968.04,543152968.04,410000000.00,208309360.73,94843607.31,20000000.00,100000000.00,120000000.00
Feb 03 2027,NTRN,0,952531963.47,542531963.47,410000000.00,207889269.41,94642694.06,20000000.00,100000000.00,120000000.00
Feb 01 2027,NTRN,0,951910958.90,541910958.90,410000000.00,207469178.08,94441780.82,20000000.00,100000000.00,120000000.00
Jan 30 2027,NTRN,0,951289954.34,541289954.34,410000000.00,207049086.76,94240867.58,20000000.00,100000000.00,120000000.00
Jan 28 2027,NTRN,0,950668949.77,540668949.77,410000000.00,206628995.43,94039954.34,20000000.00,100000000.00,120000000.00
Jan 26 2027,NTRN,0,950047945.21,540047945.21,410000000.00,206208904.11,93839041.10,20000000.00,100000000.00,120000000.00
Jan 24 2027,NTRN,0,949426940.64,539426940.64,410000000.00,205788812.79,93638127.85,20000000.00,100000000.00,120000000.00
Jan 23 2027,NTRN,0,949116438.36,539116438.36,410000000.00,205578767.12,93537671.23,20000000.00,100000000.00,120000000.00
Jan 21 2027,NTRN,0,948495433.79,538495433.79,410000000.00,205158675.80,93336757.99,20000000.00,100000000.00,120000000.00
Jan 19 2027,NTRN,0,947874429.22,537874429.22,410000000.00,204738584.47,93135844.75,20000000.00,100000000.00,120000000.00
Jan 17 2027,NTRN,0,947253424.66,537253424.66,410000000.00,204318493.15,92934931.51,20000000.00,100000000.00,120000000.00
Jan 15 2027,NTRN,0,946632420.09,536632420.09,410000000.00,203898401.83,92734018.26,20000000.00,100000000.00,120000000.00
Jan 13 2027,NTRN,0,946011415.53,536011415.53,410000000.00,203478310.50,92533105.02,20000000.00,100000000.00,120000000.00
Jan 11 2027,NTRN,0,945390410.96,535390410.96,410000000.00,203058219.18,92332191.78,20000000.00,100000000.00,120000000.00
Jan 09 2027,NTRN,0,944769406.39,534769406.39,410000000.00,202638127.85,92131278.54,20000000.00,100000000.00,120000000.00
Jan 08 2027,NTRN,0,944458904.11,534458904.11,410000000.00,202428082.19,92030821.92,20000000.00,100000000.00,120000000.00
Jan 06 2027,NTRN,0,943837899.54,533837899.54,410000000.00,202007990.87,91829908.68,20000000.00,100000000.00,120000000.00
Jan 04 2027,NTRN,0,943216894.98,533216894.98,410000000.00,201587899.54,91628995.43,20000000.00,100000000.00,120000000.00
Jan 02 2027,NTRN,0,942595890.41,532595890.41,410000000.00,201167808.22,91428082.19,20000000.00,100000000.00,120000000.00
Dec 31 2026,NTRN,0,941974885.84,531974885.84,410000000.00,200747716.89,91227168.95,20000000.00,100000000.00,120000000.00
Dec 29 2026,NTRN,0,941353881.28,531353881.28,410000000.00,200327625.57,91026255.71,20000000.00,100000000.00,120000000.00
Dec 27 2026,NTRN,0,940732876.71,530732876.71,410000000.00,199907534.25,90825342.47,20000000.00,100000000.00,120000000.00
Dec 25 2026,NTRN,0,940111872.15,530111872.15,410000000.00,199487442.92,90624429.22,20000000.00,100000000.00,120000000.00
Dec 24 2026,NTRN,0,939801369.86,529801369.86,410000000.00,199277397.26,90523972.60,20000000.00,100000000.00,120000000.00
Dec 22 2026,NTRN,0,939180365.30,529180365.30,410000000.00,198857305.94,90323059.36,20000000.00,100000000.00,120000000.00
Dec 20 2026,NTRN,0,938559360.73,528559360.73,410000000.00,198437214.61,90122146.12,20000000.00,100000000.00,120000000.00
Dec 18 2026,NTRN,0,937938356.16,527938356.16,410000000.00,198017123.29,89921232.88,20000000.00,100000000.00,120000000.00
Dec 16 2026,NTRN,0,937317351.60,527317351.60,410000000.00,197597031.96,89720319.63,20000000.00,100000000.00,120000000.00
Dec 14 2026,NTRN,0,936696347.03,526696347.03,410000000.00,197176940.64,89519406.39,20000000.00,100000000.00,120000000.00
Dec 12 2026,NTRN,0,936075342.47,526075342.47,410000000.00,196756849.32,89318493.15,20000000.00,100000000.00,120000000.00
Dec 10 2026,NTRN,0,935454337.90,525454337.90,410000000.00,196336757.99,89117579.91,20000000.00,100000000.00,120000000.00
Dec 09 2026,NTRN,0,935143835.62,525143835.62,410000000.00,196126712.33,89017123.29,20000000.00,100000000.00,120000000.00
Dec 07 2026,NTRN,0,934522831.05,524522831.05,410000000.00,195706621.00,88816210.05,20000000.00,100000000.00,120000000.00
Dec 05 2026,NTRN,0,933901826.48,523901826.48,410000000.00,195286529.68,88615296.80,20000000.00,100000000.00,120000000.00
Dec 03 2026,NTRN,0,933280821.92,523280821.92,410000000.00,194866438.36,88414383.56,20000000.00,100000000.00,120000000.00
Dec 01 2026,NTRN,0,932659817.35,522659817.35,410000000.00,194446347.03,88213470.32,20000000.00,100000000.00,120000000.00
Nov 29 2026,NTRN,0,932038812.79,522038812.79,410000000.00,194026255.71,88012557.08,20000000.00,100000000.00,120000000.00
Nov 27 2026,NTRN,0,931417808.22,521417808.22,410000000.00,193606164.38,87811643.84,20000000.00,100000000.00,120000000.00
Nov 25 2026,NTRN,0,930796803.65,520796803.65,410000000.00,193186073.06,87610730.59,20000000.00,100000000.00,120000000.00
Nov 24 2026,NTRN,0,930486301.37,520486301.37,410000000.00,192976027.40,87510273.97,20000000.00,100000000.00,120000000.00
Nov 22 2026,NTRN,0,929865296.80,519865296.80,410000000.00,192555936.07,87309360.73,20000000.00,100000000.00,120000000.00
Nov 20 2026,NTRN,0,929244292.24,519244292.24,410000000.00,192135844.75,87108447.49,20000000.00,100000000.00,120000000.00
Nov 18 2026,NTRN,0,928623287.67,518623287.67,410000000.00,191715753.42,86907534.25,20000000.00,100000000.00,120000000.00
Nov 16 2026,NTRN,0,928002283.11,518002283.11,410000000.00,191295662.10,86706621.00,20000000.00,100000000.00,120000000.00
