Date,Symbol,Price,Unlocked Supply,Founder / Team,Public Investors,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2019-08-11,ALGO,1,2766653226,2000000000,61155914,2000000000,0.0,0.0,no unlock,0.0,0.0,72.28950781416074,0.19977743973645218
2019-08-12,ALGO,1,2772169355,2000000000,62768817,2000000000,0.0,0.0,no unlock,0.0,0.0,72.14566441955347,0.1993791252247093
2019-08-13,ALGO,1,2777685484,2000000000,64381720,2000000000,0.0,0.0,no unlock,0.0,0.0,72.00239233420712,0.19898239586448352
2019-08-14,ALGO,1,2783201613,2000000000,65994624,2000000000,0.0,0.0,no unlock,0.0,0.0,71.85968816122556,0.1985872422120488
2019-08-15,ALGO,1,2788717742,2000000000,67607527,2000000000,0.0,0.0,no unlock,0.0,0.0,71.71754853058914,0.19819365489854654
2019-08-16,ALGO,1,2794233871,2000000000,69220430,2000000000,0.0,0.0,no unlock,0.0,0.0,71.57597009888941,0.19780162462924514
2019-08-17,ALGO,1,2799750000,2000000000,70833333,2000000000,0.0,0.0,no unlock,0.0,0.0,71.43494954906689,0.19741114218280836
2019-08-18,ALGO,1,2805266129,2000000000,72446237,2000000000,0.0,0.0,no unlock,0.0,0.0,71.2944835901521,0.1970221984105724
2019-08-19,ALGO,1,2814000000,2000000000,75000000,2000000000,0.0,0.0,no unlock,0.0,0.0,71.07320540156361,0.31133841134400264
2019-08-20,ALGO,1,2816365591,2000000000,75672043,2000000000,0.0,0.0,no unlock,0.0,0.0,71.01350784824298,0.08406506751954512
2019-08-21,ALGO,1,2822043011,2000000000,77284946,2000000000,0.0,0.0,no unlock,0.0,0.0,70.87064202084197,0.20158675486388586
2019-08-22,ALGO,1,2827720430,2000000000,78897849,2000000000,0.0,0.0,no unlock,0.0,0.0,70.72834990268116,0.2011811647756633
2019-08-23,ALGO,1,2833397849,2000000000,80510753,2000000000,0.0,0.0,no unlock,0.0,0.0,70.58662801998902,0.20077723878806505
2019-08-24,ALGO,1,2839075269,2000000000,82123656,2000000000,0.0,0.0,no unlock,0.0,0.0,70.44547292698073,0.200374966826623
2019-08-25,ALGO,1,2844752688,2000000000,83736559,2000000000,0.0,0.0,no unlock,0.0,0.0,70.30488127971847,0.19997423322981298
2019-08-26,ALGO,1,2850430108,2000000000,85349462,2000000000,0.0,0.0,no unlock,0.0,0.0,70.16484966204966,0.19957516953754964
2019-08-27,ALGO,1,2856107527,2000000000,86962366,2000000000,0.0,0.0,no unlock,0.0,0.0,70.02537478344736,0.19917762530173216
2019-08-28,ALGO,1,2861784946,2000000000,88575269,2000000000,0.0,0.0,no unlock,0.0,0.0,69.8864533058453,0.19878169663883247
2019-08-29,ALGO,0,2867462366,2000000000,90188172,2000000000,0.0,0.0,no unlock,0.0,-2000000000.0,69.74808191780816,0.19838737386383612
2019-08-30,ALGO,0,2873139785,2000000000,91801075,2000000000,0.0,0.0,no unlock,0.0,0.0,69.61025740695035,0.19799454274686024
2019-08-31,ALGO,0,2878817204,2000000000,93413978,2000000000,0.0,0.0,no unlock,0.0,0.0,69.47297651344729,0.19760329899855536
2019-09-01,ALGO,0,2884494624,2000000000,95026882,2000000000,0.0,0.0,no unlock,0.0,0.0,69.33623600332977,0.19721363315848794
2019-09-02,ALGO,0,2890172043,2000000000,96639785,2000000000,0.0,0.0,no unlock,0.0,0.0,69.20003274005789,0.19682543183689427
2019-09-03,ALGO,0,2895849462,2000000000,98252688,2000000000,0.0,0.0,no unlock,0.0,0.0,69.0643635397647,0.19643879033951336
2019-09-04,ALGO,0,2901526882,2000000000,99865591,2000000000,0.0,0.0,no unlock,0.0,0.0,68.92922524369015,0.19605369942396542
2019-09-05,ALGO,0,2907204301,2000000000,101478495,2000000000,0.0,0.0,no unlock,0.0,0.0,68.79461478892466,0.1956700465269031
2019-09-06,ALGO,0,2912881720,2000000000,103091398,2000000000,0.0,0.0,no unlock,0.0,0.0,68.66052906535457,0.19528792655016095
2019-09-07,ALGO,0,2918559140,2000000000,104704301,2000000000,0.0,0.0,no unlock,0.0,0.0,68.52696498725052,0.19490733046311268
2019-09-08,ALGO,0,2924236559,2000000000,106317204,2000000000,0.0,0.0,no unlock,0.0,0.0,68.39391956319496,0.19452814651547545
2019-09-09,ALGO,0,2929913978,2000000000,107930108,2000000000,0.0,0.0,no unlock,0.0,0.0,68.26138975469948,0.19415046920627738
2019-09-10,ALGO,0,2935591398,2000000000,109543011,2000000000,0.0,0.0,no unlock,0.0,0.0,68.12937254696234,0.19377428971056296
2019-09-11,ALGO,0,2941268817,2000000000,111155914,2000000000,0.0,0.0,no unlock,0.0,0.0,67.9978650179937,0.1933994970781012
2019-09-12,ALGO,0,2946946237,2000000000,112768817,2000000000,0.0,0.0,no unlock,0.0,0.0,67.86686417584617,0.19302621940522888
2019-09-13,ALGO,0,2952623656,2000000000,114381720,2000000000,0.0,0.0,no unlock,0.0,0.0,67.73636714370348,0.19265431207118422
2019-09-14,ALGO,0,2958301075,2000000000,115994624,2000000000,0.0,0.0,no unlock,0.0,0.0,67.6063709979215,0.1922838689063189
2019-09-15,ALGO,0,2963978495,2000000000,117607527,2000000000,0.0,0.0,no unlock,0.0,0.0,67.47687283743264,0.19191488141550975
2019-09-16,ALGO,0,2969655914,2000000000,119220430,2000000000,0.0,0.0,no unlock,0.0,0.0,67.34786985156423,0.191547239953912
2019-09-17,ALGO,0,2975333333,2000000000,120833333,2000000000,0.0,0.0,no unlock,0.0,0.0,67.21935918297326,0.19118103795239896
2019-09-18,ALGO,0,2981010753,2000000000,122446237,2000000000,0.0,0.0,no unlock,0.0,0.0,67.09133799625714,0.19081626710629804
2019-09-19,ALGO,0,2990000000,2000000000,125000000,2000000000,0.0,0.0,no unlock,0.0,0.0,66.88963210702342,0.30155030440442027
2019-09-20,ALGO,0,2992458333,2000000000,125694444,2000000000,0.0,0.0,no unlock,0.0,0.0,66.83468163765407,0.08221849498327759
2019-09-21,ALGO,0,2998358333,2000000000,127361111,2000000000,0.0,0.0,no unlock,0.0,0.0,66.70316812997147,0.1971623108310795
2019-09-22,ALGO,0,3004258333,2000000000,129027778,2000000000,0.0,0.0,no unlock,0.0,0.0,66.57217117553385,0.19677434598341587
2019-09-23,ALGO,0,3010158333,2000000000,130694444,2000000000,0.0,0.0,no unlock,0.0,0.0,66.44168773696197,0.19638790496782488
2019-09-24,ALGO,0,3016058333,2000000000,132361111,2000000000,0.0,0.0,no unlock,0.0,0.0,66.31171480064341,0.19600297882403783
2019-09-25,ALGO,0,3021958333,2000000000,134027778,2000000000,0.0,0.0,no unlock,0.0,0.0,66.1822493765006,0.1956195586618981
2019-09-26,ALGO,0,3027858333,2000000000,135694444,2000000000,0.0,0.0,no unlock,0.0,0.0,66.05328849776143,0.19523763566067673
2019-09-27,ALGO,0,3033758333,2000000000,137361111,2000000000,0.0,0.0,no unlock,0.0,0.0,65.92482922073279,0.1948572010683962
2019-09-28,ALGO,0,3039658333,2000000000,139027778,2000000000,0.0,0.0,no unlock,0.0,0.0,65.79686862457643,0.19447824620116172
2019-09-29,ALGO,0,3045558333,2000000000,140694444,2000000000,0.0,0.0,no unlock,0.0,0.0,65.66940381108766,0.1941007624425005
2019-09-30,ALGO,0,3051458333,2000000000,142361111,2000000000,0.0,0.0,no unlock,0.0,0.0,65.54243190447654,0.1937247412427086
2019-10-01,ALGO,0,3057358333,2000000000,144027778,2000000000,0.0,0.0,no unlock,0.0,0.0,65.41595005115155,0.1933501741182058
2019-10-02,ALGO,0,3063258333,2000000000,145694444,2000000000,0.0,0.0,no unlock,0.0,0.0,65.28995541950592,0.19297705265089712
2019-10-03,ALGO,0,3069158333,2000000000,147361111,2000000000,0.0,0.0,no unlock,0.0,0.0,65.16444519970615,0.19260536848754245
2019-10-04,ALGO,0,3075058333,2000000000,149027778,2000000000,0.0,0.0,no unlock,0.0,0.0,65.03941660348333,0.19223511333913318
2019-10-05,ALGO,0,3080958333,2000000000,150694444,2000000000,0.0,0.0,no unlock,0.0,0.0,64.91486686392652,0.19186627898027586
2019-10-06,ALGO,0,3086858333,2000000000,152361111,2000000000,0.0,0.0,no unlock,0.0,0.0,64.79079323527867,0.19149885724858323
2019-10-07,ALGO,0,3092758333,2000000000,154027778,2000000000,0.0,0.0,no unlock,0.0,0.0,64.66719299273488,0.19113284004407208
2019-10-08,ALGO,0,3098658333,2000000000,155694444,2000000000,0.0,0.0,no unlock,0.0,0.0,64.54406343224288,0.19076821932856788
2019-10-09,ALGO,0,3104558333,2000000000,157361111,2000000000,0.0,0.0,no unlock,0.0,0.0,64.4214018703059,0.1904049871251165
2019-10-10,ALGO,0,3110458333,2000000000,159027778,2000000000,0.0,0.0,no unlock,0.0,0.0,64.29920564378767,0.19004313551740243
2019-10-11,ALGO,0,3116358333,2000000000,160694444,2000000000,0.0,0.0,no unlock,0.0,0.0,64.17747210971967,0.18968265664917364
2019-10-12,ALGO,0,3122258333,2000000000,162361111,2000000000,0.0,0.0,no unlock,0.0,0.0,64.05619864511064,0.18932354272367305
2019-10-13,ALGO,0,3128158333,2000000000,164027778,2000000000,0.0,0.0,no unlock,0.0,0.0,63.93538264675812,0.1889657860030764
2019-10-14,ALGO,0,3134058333,2000000000,165694444,2000000000,0.0,0.0,no unlock,0.0,0.0,63.815021531062236,0.18860937880793646
2019-10-15,ALGO,0,3139958333,2000000000,167361111,2000000000,0.0,0.0,no unlock,0.0,0.0,63.69511273384148,0.18825431351663358
2019-10-16,ALGO,0,3145858333,2000000000,169027778,2000000000,0.0,0.0,no unlock,0.0,0.0,63.57565371015072,0.1879005825648324
2019-10-17,ALGO,0,3151758333,2000000000,170694444,2000000000,0.0,0.0,no unlock,0.0,0.0,63.45664193410098,0.18754817844494462
2019-10-18,ALGO,0,3157658333,2000000000,172361111,2000000000,0.0,0.0,no unlock,0.0,0.0,63.338074898681576,0.1871970937055979
2019-10-19,ALGO,0,3167000000,2000000000,175000000,2000000000,0.0,0.0,no unlock,0.0,0.0,63.151247237132935,0.295841602062271
2019-10-20,ALGO,0,3169419355,2000000000,175672043,2000000000,0.0,0.0,no unlock,0.0,0.0,63.103041156256204,0.07639264287969687
2019-10-21,ALGO,0,3175225806,2000000000,177284946,2000000000,0.0,0.0,no unlock,0.0,0.0,62.98764630284691,0.1832023582123925
2019-10-22,ALGO,0,3181032258,2000000000,178897849,2000000000,0.0,0.0,no unlock,0.0,0.0,62.87267269831,0.18286737242522902
2019-10-23,ALGO,0,3186838710,2000000000,180510753,2000000000,0.0,0.0,no unlock,0.0,0.0,62.758118059887636,0.18253357806722373
2019-10-24,ALGO,0,3192645161,2000000000,182123656,2000000000,0.0,0.0,no unlock,0.0,0.0,62.64398012128477,0.1822009686834763
2019-10-25,ALGO,0,3198451613,2000000000,183736559,2000000000,0.0,0.0,no unlock,0.0,0.0,62.53025657387051,0.1818696318315971
2019-10-26,ALGO,0,3204258065,2000000000,185349462,2000000000,0.0,0.0,no unlock,0.0,0.0,62.41694518446972,0.1815394666719318
2019-10-27,ALGO,0,3210064516,2000000000,186962366,2000000000,0.0,0.0,no unlock,0.0,0.0,62.304043735923464,0.18121046689165468
2019-10-28,ALGO,0,3215870968,2000000000,188575269,2000000000,0.0,0.0,no unlock,0.0,0.0,62.191549968928975,0.18088271967927017
2019-10-29,ALGO,0,3221677419,2000000000,190188172,2000000000,0.0,0.0,no unlock,0.0,0.0,62.079461717827556,0.1805560937543188
2019-10-30,ALGO,0,3227483871,2000000000,191801075,2000000000,0.0,0.0,no unlock,0.0,0.0,61.967776755467476,0.18023070732520163
2019-10-31,ALGO,0,3233290323,2000000000,193413978,2000000000,0.0,0.0,no unlock,0.0,0.0,61.85649292836485,0.17990646063866883
2019-11-01,ALGO,0,3239096774,2000000000,195026882,2000000000,0.0,0.0,no unlock,0.0,0.0,61.745608098339574,0.1795833476101985
2019-11-02,ALGO,0,3244903226,2000000000,196639785,2000000000,0.0,0.0,no unlock,0.0,0.0,61.635120085396345,0.17926145481691003
2019-11-03,ALGO,0,3250709677,2000000000,198252688,2000000000,0.0,0.0,no unlock,0.0,0.0,61.52502680109381,0.17894065232748485
2019-11-04,ALGO,0,3256516129,2000000000,199865591,2000000000,0.0,0.0,no unlock,0.0,0.0,61.41532609617853,0.1786210574596324
2019-11-05,ALGO,0,3262322581,2000000000,201478495,2000000000,0.0,0.0,no unlock,0.0,0.0,61.30601589334369,0.178302571520904
2019-11-06,ALGO,0,3268129032,2000000000,203091398,2000000000,0.0,0.0,no unlock,0.0,0.0,61.197094129911335,0.17798518864496066
2019-11-07,ALGO,0,3273935484,2000000000,204704301,2000000000,0.0,0.0,no unlock,0.0,0.0,61.08855870172669,0.17766899480240594
2019-11-08,ALGO,0,3279741935,2000000000,206317204,2000000000,0.0,0.0,no unlock,0.0,0.0,60.98040759417249,0.17735386138109985
2019-11-09,ALGO,0,3285548387,2000000000,207930108,2000000000,0.0,0.0,no unlock,0.0,0.0,60.87263873250027,0.17703990481799903
2019-11-10,ALGO,0,3291354839,2000000000,209543011,2000000000,0.0,0.0,no unlock,0.0,0.0,60.7652501122502,0.17672702745680183
2019-11-11,ALGO,0,3297161290,2000000000,211155914,2000000000,0.0,0.0,no unlock,0.0,0.0,60.658239742951736,0.17641522363976264
