Date,Symbol,Price,Unlocked Supply,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2022-03-06,MULTI,13.95,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-07,MULTI,12.07,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-08,MULTI,11.21,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-09,MULTI,11.41,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-10,MULTI,11.69,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-11,MULTI,10.32,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-12,MULTI,9.94,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-13,MULTI,9.71,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-14,MULTI,9.26,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-15,MULTI,9.04,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-16,MULTI,8.94,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-17,MULTI,9.29,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-18,MULTI,8.8,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-19,MULTI,8.7,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-20,MULTI,9.28,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-21,MULTI,9.04,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-22,MULTI,9.54,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-23,MULTI,9.7,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-24,MULTI,9.44,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-25,MULTI,10.69,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-26,MULTI,12.82,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-27,MULTI,12.54,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-28,MULTI,12.84,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-29,MULTI,12.46,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-30,MULTI,12.29,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-31,MULTI,13.23,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-01,MULTI,12.41,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-02,MULTI,12.93,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-03,MULTI,13.41,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-04,MULTI,14.48,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-05,MULTI,14.06,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-06,MULTI,14.95,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-07,MULTI,18.32,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-08,MULTI,15.41,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-09,MULTI,14.92,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-10,MULTI,14.35,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-11,MULTI,13.43,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-12,MULTI,11.38,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-13,MULTI,12.19,18639320,1,0,0.0,0.0,no unlock,0.0
