Date,Symbol,Price,Unlocked Supply,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2014-03-15,DOGE,0,60214821615,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.5909640371658963
2014-03-16,DOGE,0,60568578976,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.5874921680609548
2014-03-18,DOGE,0,61273373885,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.1636312439809287
2014-03-19,DOGE,0,61603304233,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.5384563099450419
2014-03-21,DOGE,0,62263164929,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.0711449721986213
2014-03-22,DOGE,0,62593095277,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.5298965261021128
2014-03-23,DOGE,0,62923025625,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.5271034233726956
2014-03-25,DOGE,0,63582886321,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.0486792226625388
2014-03-26,DOGE,0,63912816669,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.5188980354467353
2014-03-28,DOGE,0,64572677365,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.0324387664173404
2014-03-29,DOGE,0,64902607713,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.5109441972415882
2014-03-30,DOGE,0,65232538061,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.5083468286188983
2014-04-01,DOGE,0,65892398757,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,1.0115514674332517
2014-04-02,DOGE,0,66222329106,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.5007107879267337
2014-04-03,DOGE,0,66552259454,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4982161643271273
2014-04-05,DOGE,0,67212120150,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.9914925524896515
2014-04-06,DOGE,0,67542050498,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.49087924508806025
2014-04-08,DOGE,0,68201911194,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.9769627826438868
