Date,Symbol,Price,Unlocked Supply,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2021-12-05,IMX,5.85,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-06,IMX,5.52,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-07,IMX,5.2,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-08,IMX,5.22,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-09,IMX,6.26,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-10,IMX,5.22,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-11,IMX,4.77,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-12,IMX,4.95,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-13,IMX,5.34,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-14,IMX,4.71,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-15,IMX,4.87,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-16,IMX,4.98,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-17,IMX,4.94,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-18,IMX,4.71,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-19,IMX,4.62,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-20,IMX,4.51,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-21,IMX,4.27,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-22,IMX,4.56,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-23,IMX,4.51,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-24,IMX,4.77,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-25,IMX,4.62,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-26,IMX,4.71,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-27,IMX,4.71,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-28,IMX,5.51,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-29,IMX,4.86,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-30,IMX,4.86,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-31,IMX,5.14,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-01,IMX,4.9,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-02,IMX,4.83,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-03,IMX,4.96,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-04,IMX,4.55,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-05,IMX,4.74,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-06,IMX,4.42,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-07,IMX,4.13,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-08,IMX,3.75,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-09,IMX,3.42,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-10,IMX,3.75,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-11,IMX,3.79,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-12,IMX,3.61,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-13,IMX,3.7,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-14,IMX,3.5,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-15,IMX,3.58,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-16,IMX,3.62,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-17,IMX,4.15,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-18,IMX,3.78,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-19,IMX,3.76,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-20,IMX,3.56,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-21,IMX,3.36,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-22,IMX,2.71,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-23,IMX,2.45,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-24,IMX,2.49,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-25,IMX,2.32,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-26,IMX,2.37,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-27,IMX,2.95,199392471,0,1,0,0.0,0.0,no unlock,0.0
2022-01-28,IMX,2.66,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-01-29,IMX,2.83,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-01-30,IMX,2.83,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-01-31,IMX,2.58,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-01,IMX,2.69,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-02,IMX,2.88,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-03,IMX,2.96,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-04,IMX,3.39,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-05,IMX,2.99,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-06,IMX,2.88,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-07,IMX,2.83,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-08,IMX,2.87,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-09,IMX,2.79,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-10,IMX,2.82,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-11,IMX,2.6,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-12,IMX,2.3,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-13,IMX,2.3,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-14,IMX,2.29,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-15,IMX,2.3,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-16,IMX,2.48,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-17,IMX,2.4,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-18,IMX,2.13,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-19,IMX,2.05,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-20,IMX,1.98,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-21,IMX,1.83,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-22,IMX,1.56,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-23,IMX,1.66,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-24,IMX,1.57,259088708,0,1,0,0.0,0.0,no unlock,0.0
2022-02-25,IMX,1.5,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-02-26,IMX,1.54,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-02-27,IMX,1.49,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-02-28,IMX,1.41,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-01,IMX,1.56,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-02,IMX,1.59,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-03,IMX,1.47,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-04,IMX,1.46,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-05,IMX,1.32,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-06,IMX,1.27,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-07,IMX,1.15,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-08,IMX,1.58,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-09,IMX,1.5,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-10,IMX,1.59,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-11,IMX,1.52,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-12,IMX,1.71,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-13,IMX,1.88,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-14,IMX,1.69,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-15,IMX,1.64,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-16,IMX,1.52,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-17,IMX,1.65,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-18,IMX,1.58,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-19,IMX,1.64,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-20,IMX,2.09,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-21,IMX,2.16,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-22,IMX,2.13,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-23,IMX,2.32,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-24,IMX,2.28,299184944,0,1,0,0.0,0.0,no unlock,0.0
2022-03-25,IMX,2.16,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-03-26,IMX,2.25,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-03-27,IMX,2.2,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-03-28,IMX,2.32,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-03-29,IMX,2.61,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-03-30,IMX,2.69,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-03-31,IMX,2.64,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-01,IMX,2.35,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-02,IMX,2.48,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-03,IMX,2.41,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-04,IMX,2.61,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-05,IMX,2.49,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-06,IMX,2.34,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-07,IMX,2.02,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-08,IMX,2.15,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-09,IMX,2.12,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-10,IMX,2.16,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-11,IMX,2.05,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-12,IMX,1.73,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-13,IMX,1.84,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-14,IMX,1.86,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-15,IMX,1.81,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-16,IMX,1.79,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-17,IMX,1.85,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-18,IMX,1.72,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-19,IMX,1.75,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-20,IMX,1.98,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-21,IMX,2.02,339281179,0,1,0,0.0,0.0,no unlock,0.0
2022-04-22,IMX,1.88,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-04-23,IMX,1.84,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-04-24,IMX,1.82,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-04-25,IMX,1.73,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-04-26,IMX,1.8,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-04-27,IMX,1.67,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-04-28,IMX,1.71,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-04-29,IMX,1.67,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-04-30,IMX,1.54,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-01,IMX,1.36,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-02,IMX,1.52,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-03,IMX,1.54,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-04,IMX,1.58,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-05,IMX,1.83,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-06,IMX,1.57,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-07,IMX,1.52,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-08,IMX,1.43,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-09,IMX,1.36,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-10,IMX,1.16,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-11,IMX,1.19,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-12,IMX,0.84,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-13,IMX,0.78,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-14,IMX,0.82,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-15,IMX,0.85,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-16,IMX,0.95,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-17,IMX,0.87,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-18,IMX,0.92,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-19,IMX,0.79,379377415,0,1,0,0.0,0.0,no unlock,0.0
2022-05-20,IMX,0.9,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-05-21,IMX,0.86,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-05-22,IMX,0.94,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-05-23,IMX,0.99,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-05-24,IMX,0.94,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-05-25,IMX,0.95,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-05-26,IMX,0.93,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-05-27,IMX,0.84,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-05-28,IMX,0.85,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-05-29,IMX,0.91,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-05-30,IMX,1.02,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-05-31,IMX,1.15,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-01,IMX,1.11,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-02,IMX,0.96,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-03,IMX,0.99,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-04,IMX,0.96,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-05,IMX,0.96,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-06,IMX,0.97,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-07,IMX,1.04,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-08,IMX,0.97,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-09,IMX,0.95,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-10,IMX,0.98,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-11,IMX,0.89,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-12,IMX,0.8,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-13,IMX,0.74,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-14,IMX,0.69,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-15,IMX,0.71,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-16,IMX,0.78,411206985,0,1,0,0.0,0.0,no unlock,0.0
2022-06-17,IMX,0.68,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-06-18,IMX,0.76,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-06-19,IMX,0.71,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-06-20,IMX,0.77,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-06-21,IMX,0.81,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-06-22,IMX,0.79,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-06-23,IMX,0.76,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-06-24,IMX,0.84,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-06-25,IMX,0.88,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-06-26,IMX,0.88,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-06-27,IMX,0.82,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-06-28,IMX,0.83,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-06-29,IMX,0.85,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-06-30,IMX,0.93,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-07-01,IMX,1.0,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-07-02,IMX,0.89,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-07-03,IMX,0.89,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-07-04,IMX,0.89,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-07-05,IMX,0.95,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-07-06,IMX,0.99,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-07-07,IMX,1.02,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-07-08,IMX,1.01,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-07-09,IMX,0.97,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-07-10,IMX,0.97,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-07-11,IMX,0.91,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-07-12,IMX,0.85,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-07-13,IMX,0.83,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-07-14,IMX,0.88,443036554,0,1,0,0.0,0.0,no unlock,0.0
2022-07-15,IMX,0.91,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-16,IMX,0.9,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-17,IMX,0.92,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-18,IMX,0.91,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-19,IMX,1.03,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-20,IMX,1.04,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-21,IMX,0.97,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-22,IMX,0.98,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-23,IMX,0.93,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-24,IMX,0.93,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-25,IMX,0.92,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-26,IMX,0.82,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-27,IMX,0.81,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-28,IMX,0.88,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-29,IMX,0.94,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-30,IMX,1.07,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-07-31,IMX,1.19,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-08-01,IMX,1.09,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-08-02,IMX,1.08,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-08-03,IMX,1.05,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-08-04,IMX,1.09,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-08-05,IMX,1.13,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-08-06,IMX,1.19,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-08-07,IMX,1.13,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-08-08,IMX,1.14,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-08-09,IMX,1.21,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-08-10,IMX,1.11,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-08-11,IMX,1.13,474866123,0,1,0,0.0,0.0,no unlock,0.0
2022-08-12,IMX,1.12,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-13,IMX,1.15,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-14,IMX,1.14,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-15,IMX,1.09,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-16,IMX,1.04,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-17,IMX,1.02,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-18,IMX,0.96,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-19,IMX,0.9,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-20,IMX,0.87,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-21,IMX,0.86,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-22,IMX,0.88,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-23,IMX,0.85,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-24,IMX,0.87,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-25,IMX,0.86,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-26,IMX,0.86,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-27,IMX,0.77,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-28,IMX,0.79,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-29,IMX,0.77,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-30,IMX,0.87,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-08-31,IMX,0.83,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-09-01,IMX,0.83,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-09-02,IMX,0.82,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-09-03,IMX,0.82,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-09-04,IMX,0.82,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-09-05,IMX,0.84,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-09-06,IMX,0.84,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-09-07,IMX,0.78,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-09-08,IMX,0.82,506695692,0,1,0,0.0,0.0,no unlock,0.0
2022-09-09,IMX,0.81,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-10,IMX,0.87,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-11,IMX,0.87,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-12,IMX,0.86,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-13,IMX,0.86,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-14,IMX,0.8,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-15,IMX,0.82,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-16,IMX,0.79,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-17,IMX,0.79,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-18,IMX,0.81,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-19,IMX,0.75,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-20,IMX,0.77,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-21,IMX,0.75,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-22,IMX,0.74,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-23,IMX,0.78,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-24,IMX,0.77,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-25,IMX,0.73,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-26,IMX,0.73,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-27,IMX,0.73,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-28,IMX,0.74,538525262,0,1,0,0.0,0.0,no unlock,0.0
2022-09-29,IMX,0.74,538525262,0,1,0,0.0,0.0,no unlock,0.0
