block_height,entity,ExtraNonce
136,Point Click,": Patoshi, BN: 136, ExtraNonce=39
137,Point Click,": Patoshi, BN: 137, ExtraNonce=41
138,Point Click,": Patoshi, BN: 138, ExtraNonce=44
139,Point Click,": Patoshi, BN: 139, ExtraNonce=45
140,Point Click,": Patoshi, BN: 140, ExtraNonce=77
141,Point Click,": Patoshi, BN: 141, ExtraNonce=78
142,Point Click,": Patoshi, BN: 142, ExtraNonce=83
143,Point Click,": Patoshi, BN: 143, ExtraNonce=92
144,Point Click,": Patoshi, BN: 144, ExtraNonce=114
145,Point Click,": Patoshi, BN: 145, ExtraNonce=135
146,Point Click,": Patoshi, BN: 146, ExtraNonce=136
147,Point Click,": Patoshi, BN: 147, ExtraNonce=138
148,Point Click,": Patoshi, BN: 148, ExtraNonce=140
149,Point Click,": Patoshi, BN: 149, ExtraNonce=145
150,Point Click,": Patoshi, BN: 150, ExtraNonce=166
151,Point Click,": Patoshi, BN: 151, ExtraNonce=174
152,Point Click,": Patoshi, BN: 152, ExtraNonce=183
153,Point Click,": Patoshi, BN: 153, ExtraNonce=185
154,Point Click,": Patoshi, BN: 154, ExtraNonce=189
155,Point Click,": Patoshi, BN: 155, ExtraNonce=196
156,Point Click,": Patoshi, BN: 156, ExtraNonce=203
157,Point Click,": Patoshi, BN: 157, ExtraNonce=210
158,Point Click,": Patoshi, BN: 158, ExtraNonce=212
159,Point Click,": Patoshi, BN: 159, ExtraNonce=213
160,Point Click,": Patoshi, BN: 160, ExtraNonce=214
161,Point Click,": Patoshi, BN: 161, ExtraNonce=217
162,Point Click,": Patoshi, BN: 162, ExtraNonce=219
163,Point Click,": Other, BN: 163, ExtraNonce=12
164,Point Click,": Other, BN: 164, ExtraNonce=8
165,Point Click,": Other, BN: 165, ExtraNonce=1
166,Point Click,": Patoshi, BN: 166, ExtraNonce=1
167,Point Click,": Patoshi, BN: 167, ExtraNonce=4
168,Point Click,": Other, BN: 168, ExtraNonce=3
169,Point Click,": Other, BN: 169, ExtraNonce=1
170,Point Click,": Other, BN: 170, ExtraNonce=2
171,Point Click,": Patoshi, BN: 171, ExtraNonce=14
172,Point Click,": Other, BN: 172, ExtraNonce=6
173,Point Click,": Patoshi, BN: 173, ExtraNonce=21
174,Point Click,": Other, BN: 174, ExtraNonce=19
175,Point Click,": Other, BN: 175, ExtraNonce=7
176,Point Click,": Other, BN: 176, ExtraNonce=18
177,Point Click,": Patoshi, BN: 177, ExtraNonce=22
178,Point Click,": Other, BN: 178, ExtraNonce=5
179,Point Click,": Patoshi, BN: 179, ExtraNonce=22
180,Point Click,": Patoshi, BN: 180, ExtraNonce=31
181,Point Click,": Patoshi, BN: 181, ExtraNonce=40
182,Point Click,": Patoshi, BN: 182, ExtraNonce=41
183,Point Click,": Patoshi, BN: 183, ExtraNonce=42
184,Point Click,": Patoshi, BN: 184, ExtraNonce=2
185,Point Click,": Patoshi, BN: 185, ExtraNonce=17
186,Point Click,": Other, BN: 186, ExtraNonce=2
187,Point Click,": Patoshi, BN: 187, ExtraNonce=26
188,Point Click,": Other, BN: 188, ExtraNonce=3
189,Point Click,": Other, BN: 189, ExtraNonce=11
190,Point Click,": Other, BN: 190, ExtraNonce=10
191,Point Click,": Patoshi, BN: 191, ExtraNonce=33
192,Point Click,": Other, BN: 192, ExtraNonce=13
193,Point Click,": Other, BN: 193, ExtraNonce=15
194,Point Click,": Other, BN: 194, ExtraNonce=17
195,Point Click,": Other, BN: 195, ExtraNonce=26
196,Point Click,": Other, BN: 196, ExtraNonce=28
197,Point Click,": Other, BN: 197, ExtraNonce=31
198,Point Click,": Patoshi, BN: 198, ExtraNonce=36
199,Point Click,": Patoshi, BN: 199, ExtraNonce=48
200,Point Click,": Patoshi, BN: 200, ExtraNonce=56
201,Point Click,": Patoshi, BN: 201, ExtraNonce=59
202,Point Click,": Patoshi, BN: 202, ExtraNonce=60
203,Point Click,": Patoshi, BN: 203, ExtraNonce=68
204,Point Click,": Other, BN: 204, ExtraNonce=13
205,Point Click,": Patoshi, BN: 205, ExtraNonce=70
206,Point Click,": Other, BN: 206, ExtraNonce=14
207,Point Click,": Patoshi, BN: 207, ExtraNonce=84
208,Point Click,": Patoshi, BN: 208, ExtraNonce=88
209,Point Click,": Patoshi, BN: 209, ExtraNonce=90
210,Point Click,": Other, BN: 210, ExtraNonce=18
211,Point Click,": Patoshi, BN: 211, ExtraNonce=91
212,Point Click,": Patoshi, BN: 212, ExtraNonce=92
213,Point Click,": Patoshi, BN: 213, ExtraNonce=103
214,Point Click,": Patoshi, BN: 214, ExtraNonce=109
215,Point Click,": Patoshi, BN: 215, ExtraNonce=118
216,Point Click,": Patoshi, BN: 216, ExtraNonce=131
217,Point Click,": Patoshi, BN: 217, ExtraNonce=133
218,Point Click,": Patoshi, BN: 218, ExtraNonce=148
219,Point Click,": Patoshi, BN: 219, ExtraNonce=150
220,Point Click,": Patoshi, BN: 220, ExtraNonce=154
221,Point Click,": Patoshi, BN: 221, ExtraNonce=158
222,Point Click,": Patoshi, BN: 222, ExtraNonce=161
223,Point Click,": Patoshi, BN: 223, ExtraNonce=163
224,Point Click,": Patoshi, BN: 224, ExtraNonce=172
225,Point Click,": Patoshi, BN: 225, ExtraNonce=177
226,Point Click,": Patoshi, BN: 226, ExtraNonce=189
227,Point Click,": Patoshi, BN: 227, ExtraNonce=197
228,Point Click,": Patoshi, BN: 228, ExtraNonce=199
229,Point Click,": Patoshi, BN: 229, ExtraNonce=201
230,Point Click,": Patoshi, BN: 230, ExtraNonce=202
231,Point Click,": Patoshi, BN: 231, ExtraNonce=212
232,Point Click,": Patoshi, BN: 232, ExtraNonce=214
233,Point Click,": Patoshi, BN: 233, ExtraNonce=216
234,Point Click,": Patoshi, BN: 234, ExtraNonce=220
235,Point Click,": Other, BN: 235, ExtraNonce=9
236,Point Click,": Other, BN: 236, ExtraNonce=7
237,Point Click,": Patoshi, BN: 237, ExtraNonce=221
238,Point Click,": Patoshi, BN: 238, ExtraNonce=226
239,Point Click,": Patoshi, BN: 239, ExtraNonce=227
240,Point Click,": Other, BN: 240, ExtraNonce=11
241,Point Click,": Patoshi, BN: 241, ExtraNonce=228
242,Point Click,": Patoshi, BN: 242, ExtraNonce=245
243,Point Click,": Patoshi, BN: 243, ExtraNonce=252
244,Point Click,": Patoshi, BN: 244, ExtraNonce=253
245,Point Click,": Patoshi, BN: 245, ExtraNonce=254
246,Point Click,": Patoshi, BN: 246, ExtraNonce=256
247,Point Click,": Patoshi, BN: 247, ExtraNonce=261
248,Point Click,": Patoshi, BN: 248, ExtraNonce=266
249,Point Click,": Patoshi, BN: 249, ExtraNonce=277
250,Point Click,": Patoshi, BN: 250, ExtraNonce=279
251,Point Click,": Patoshi, BN: 251, ExtraNonce=281
252,Point Click,": Patoshi, BN: 252, ExtraNonce=286
253,Point Click,": Patoshi, BN: 253, ExtraNonce=290
254,Point Click,": Patoshi, BN: 254, ExtraNonce=297
255,Point Click,": Patoshi, BN: 255, ExtraNonce=304
256,Point Click,": Patoshi, BN: 256, ExtraNonce=306
257,Point Click,": Patoshi, BN: 257, ExtraNonce=310
258,Point Click,": Patoshi, BN: 258, ExtraNonce=317
259,Point Click,": Patoshi, BN: 259, ExtraNonce=334
260,Point Click,": Patoshi, BN: 260, ExtraNonce=342
261,Point Click,": Patoshi, BN: 261, ExtraNonce=344
262,Point Click,": Patoshi, BN: 262, ExtraNonce=349
263,Point Click,": Patoshi, BN: 263, ExtraNonce=354
264,Point Click,": Patoshi, BN: 264, ExtraNonce=361
265,Point Click,": Other, BN: 265, ExtraNonce=36
266,Point Click,": Other, BN: 266, ExtraNonce=37
267,Point Click,": Other, BN: 267, ExtraNonce=38
268,Point Click,": Other, BN: 268, ExtraNonce=14
269,Point Click,": Patoshi, BN: 269, ExtraNonce=369
270,Point Click,": Patoshi, BN: 270, ExtraNonce=376
271,Point Click,": Patoshi, BN: 271, ExtraNonce=378
272,Point Click,": Patoshi, BN: 272, ExtraNonce=381
273,Point Click,": Patoshi, BN: 273, ExtraNonce=392
274,Point Click,": Patoshi, BN: 274, ExtraNonce=393
275,Point Click,": Patoshi, BN: 275, ExtraNonce=397
276,Point Click,": Patoshi, BN: 276, ExtraNonce=2
277,Point Click,": Patoshi, BN: 277, ExtraNonce=7
278,Point Click,": Other, BN: 278, ExtraNonce=48
279,Point Click,": Patoshi, BN: 279, ExtraNonce=8
