block_height,recipient_hash,reward_amount
96,12XPHPCGYz1WgRhquiAfVeAyjZ7Gbdpih3,50.0
97,1Bq1TLyuvZLvu73eueduUMhBL2QfYDeoNt,50.0
98,1yNErqkG6GFaQTkRjrp38nqpVFn7QJnhV,50.0
99,16cAVR3SQbNzu8KZtGdo8cG1iueWpcngxz,50.0
100,13A1W4jLPP75pzvn2qJ5KyyqG3qPSpb9jM,50.0
101,13CiNuEMKASJBvGdupqaoRs2MqDNhAqmce,50.0
102,1HFtrEq1YGKxFKdq5nKyd7xm6NrAKcT7zf,50.0
103,1B4HeenWZfzcyHSpHeZGQZtSVUi18wmd2B,50.0
104,1MBvf6WPKwekXLRxsjjudqUXWJDYUy4qzB,50.0
105,1Bjrramo5EisLKeUXjw9GcUcfXcVnpi6vK,50.0
106,1T2TbagADcZFN433zk1HjYuTiXTPs62Yd,50.0
107,13t2rxB1FiZ8rSR3jVVNAmJN7hxFCq6pjp,50.0
108,1PN2MiaGhnR65x41pbUWbsfCB62hqG8KSG,50.0
109,1Cef65T8Cqi47KJvc4vYkxuZ9ymBxQfhQf,50.0
110,1CbjjM7LDBvmtdvyyZbbb8hp3B8gwUEaio,50.0
111,1HCeeU957J4NTXDer2fGvDsb7mVjU9TtLb,50.0
112,1JNWvsrDf8mdH82Y7xp8yACDfm6TpVwZeM,50.0
113,19K4cNVYVyNiwZ5xkzjW9ZtMb8XvBS2LkT,50.0
114,1NG4uecvtRyRx9eWxUaw6PVLPKMfDE7nz4,50.0
115,14w8FgPQhPRuP4wnVpER9p9Cb7kYQWkzwY,50.0
116,1MF2sw6Zan5p4ViuGdxRoNr48M5rFvHkqn,50.0
117,18NmcVxBKf5tZXuV5KijPTgbdguGohnBCV,50.0
118,1N24Lobvo9BN4iGrm4SRhCUwpwd273dSfq,50.0
119,1AUR9CVmm5wH8xc2EufyDpuA8HEZcSamhY,50.0
120,1FeGetWU2tR2QSrxnpRwHGXGcxzhN6zQza,50.0
121,1B7CyZF8e6TYzhNBSHy8yYuTRJNpMtNChg,50.0
122,1nQ5KafzA4DWGa327n8JnZ29q4PKg5Y7m,50.0
123,1CT9huFgxMFveRvzZ7zPPJNoaMm2Fo64VH,50.0
124,1M7U7kbW9CY7znW6sSRzycgPCxr5LkJy2r,50.0
125,1JRiK5gbEjTEAdFU2kYoQJRCMZgVCQgbpQ,50.0
126,1PwcmHdjVFfQgXpd6V4BGzRY7yLBvGb4eK,50.0
128,135S6YvALYCydS6R82hWi967f3xUnWVQ3S,50.0
129,1BF5nbuKF3UTYCQTpxuH62UA8WJWAqQKo5,50.0
130,1PZnnfPq3EpcGZZyiX8WCbEhm9amzpjTYr,50.0
132,1GPhCZpM72YrpkZVqQECpT6eKprKFEwkSH,50.0
133,1PpU2yx6CSruakyYjckH8eUJWAH1XUQ7ZM,50.0
134,13pS5WuihmpE7WMQAZkFdvfvVo1NDp7R7V,50.0
135,1EDV8iD4cDZbKxZu6UGAPW5i2ytQmR5xoQ,50.0
136,1MMFzwh3r5fxNwpTZvm6iZReX7RUwZxnaY,50.0
137,1FdgjwkXbQc1gpHjpHyZNY85vdyQyFfBbg,50.0
138,1HRRURSfxj8NntfzcPT4ajz7uBefLuwLmB,50.0
139,1G6RMmurphMJg6wyobQSzC2az9zZ3VipXE,50.0
140,1ArDoL42A6ZZdudpogut2NUGcwxhRj42S8,50.0
141,12dRaqF6c7n8rvbhCWsQysKmNKPgDJfepK,50.0
142,17B3kpD6d9SSaoKATBgGqDn25dFnSvjcVE,50.0
143,1DQCdPGY1MUFwPdJ2bNziT4RfDFusBddyS,50.0
144,1Jd2omwPAZq3egSS8HsxFMxhWmKdonG9Lz,50.0
145,1CwoMxSXitseAKdNgfaHtzaUB7mUhcrmMp,50.0
146,18xph1cecYkJwD81bHSKZ3SrUsPqinU2bA,50.0
147,1Pqrx3NMF9VmMW6ikLZST3veBkUmY6be15,50.0
148,15EMUiFD7XoHpzCA4sErNmqCT4krsQzgKx,50.0
149,18xzfpkj8cNz8NdmU7eumVjpeDfQSJ1CHR,50.0
