Date,Symbol,Available Supply,Unlocked Supply,Private Sales,Protocol Development,Ecosystem Growth,Community Access Sale
Nov 18 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Nov 16 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Nov 14 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Nov 12 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Nov 10 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Nov 08 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Nov 05 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Nov 03 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Nov 01 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Oct 30 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Oct 28 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Oct 26 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Oct 24 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Oct 21 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Oct 19 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Oct 17 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Oct 15 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Oct 13 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Oct 11 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Oct 09 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Oct 06 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Oct 04 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Oct 02 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Sep 30 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Sep 28 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Sep 26 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Sep 23 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Sep 21 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Sep 19 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Sep 17 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Sep 15 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Sep 13 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Sep 11 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Sep 08 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Sep 06 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Sep 04 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Sep 02 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Aug 31 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Aug 29 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Aug 26 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Aug 24 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Aug 22 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Aug 20 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Aug 18 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Aug 16 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Aug 14 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Aug 11 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Aug 09 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Aug 07 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Aug 05 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Aug 03 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Aug 01 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jul 30 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jul 27 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jul 25 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jul 23 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jul 21 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jul 19 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jul 17 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jul 14 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jul 12 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jul 10 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jul 08 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jul 06 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jul 04 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jul 02 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jun 29 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jun 27 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jun 25 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jun 23 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jun 21 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jun 19 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jun 16 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jun 14 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jun 12 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jun 10 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jun 08 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jun 06 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jun 04 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jun 01 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
May 30 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
May 28 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
May 26 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
May 24 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
May 22 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
May 20 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
May 17 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
May 15 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
May 13 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
May 11 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
May 09 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
May 07 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
May 04 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
May 02 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Apr 30 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Apr 28 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Apr 26 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Apr 24 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Apr 22 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
