Date,Symbol,Available Supply,Unlocked Supply,Marketing (TBD),BONK DAO (TBD),Early Contributor,Initial Liquidity,Solana Developer,Solana Artist and Collectors,Solana Market Participants and Defi Users,Solana NFT Projects
Jan 04 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 03 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 01 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 31 2025,BONK,99980839416058.10,78880839416058.10,5300000000000.00,15800000000000.00,20980839416058.10,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 30 2025,BONK,99961678832116.48,78861678832116.48,5300000000000.00,15800000000000.00,20961678832116.49,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 28 2025,BONK,99923357664233.28,78823357664233.28,5300000000000.00,15800000000000.00,20923357664233.28,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 27 2025,BONK,99904197080291.69,78804197080291.67,5300000000000.00,15800000000000.00,20904197080291.67,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 26 2025,BONK,99885036496350.06,78785036496350.06,5300000000000.00,15800000000000.00,20885036496350.07,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 24 2025,BONK,99846715328466.86,78746715328466.86,5300000000000.00,15800000000000.00,20846715328466.86,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 23 2025,BONK,99827554744525.23,78727554744525.25,5300000000000.00,15800000000000.00,20827554744525.25,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 22 2025,BONK,99808394160583.64,78708394160583.64,5300000000000.00,15800000000000.00,20808394160583.65,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 20 2025,BONK,99770072992700.44,78670072992700.44,5300000000000.00,15800000000000.00,20770072992700.44,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 19 2025,BONK,99750912408758.84,78650912408758.83,5300000000000.00,15800000000000.00,20750912408758.83,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 18 2025,BONK,99731751824817.22,78631751824817.22,5300000000000.00,15800000000000.00,20731751824817.22,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 16 2025,BONK,99693430656934.02,78593430656934.02,5300000000000.00,15800000000000.00,20693430656934.01,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 15 2025,BONK,99674270072992.40,78574270072992.40,5300000000000.00,15800000000000.00,20674270072992.41,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 14 2025,BONK,99655109489050.80,78555109489050.80,5300000000000.00,15800000000000.00,20655109489050.80,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 12 2025,BONK,99616788321167.60,78516788321167.60,5300000000000.00,15800000000000.00,20616788321167.59,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 11 2025,BONK,99597627737225.98,78497627737225.98,5300000000000.00,15800000000000.00,20597627737225.99,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 10 2025,BONK,99578467153284.38,78478467153284.38,5300000000000.00,15800000000000.00,20578467153284.38,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 08 2025,BONK,99540145985401.16,78440145985401.17,5300000000000.00,15800000000000.00,20540145985401.17,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 07 2025,BONK,99520985401459.56,78420985401459.56,5300000000000.00,15800000000000.00,20520985401459.56,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 06 2025,BONK,99501824817517.95,78401824817517.95,5300000000000.00,15800000000000.00,20501824817517.96,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 04 2025,BONK,99463503649634.77,78363503649634.75,5300000000000.00,15800000000000.00,20463503649634.75,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 03 2025,BONK,99444343065693.14,78344343065693.14,5300000000000.00,15800000000000.00,20444343065693.14,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Dec 01 2025,BONK,99406021897809.94,78306021897809.94,5300000000000.00,15800000000000.00,20406021897809.93,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 30 2025,BONK,99386861313868.31,78286861313868.33,5300000000000.00,15800000000000.00,20386861313868.33,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 29 2025,BONK,99367700729926.72,78267700729926.72,5300000000000.00,15800000000000.00,20367700729926.72,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 27 2025,BONK,99329379562043.50,78229379562043.50,5300000000000.00,15800000000000.00,20329379562043.51,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 26 2025,BONK,99310218978101.90,78210218978101.90,5300000000000.00,15800000000000.00,20310218978101.90,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 25 2025,BONK,99291058394160.30,78191058394160.30,5300000000000.00,15800000000000.00,20291058394160.30,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 23 2025,BONK,99252737226277.10,78152737226277.10,5300000000000.00,15800000000000.00,20252737226277.09,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 22 2025,BONK,99233576642335.48,78133576642335.48,5300000000000.00,15800000000000.00,20233576642335.48,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 21 2025,BONK,99214416058393.88,78114416058393.88,5300000000000.00,15800000000000.00,20214416058393.88,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 19 2025,BONK,99176094890510.66,78076094890510.66,5300000000000.00,15800000000000.00,20176094890510.67,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 18 2025,BONK,99156934306569.06,78056934306569.06,5300000000000.00,15800000000000.00,20156934306569.06,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 17 2025,BONK,99137773722627.44,78037773722627.45,5300000000000.00,15800000000000.00,20137773722627.45,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 15 2025,BONK,99099452554744.23,77999452554744.25,5300000000000.00,15800000000000.00,20099452554744.24,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 14 2025,BONK,99080291970802.64,77980291970802.64,5300000000000.00,15800000000000.00,20080291970802.64,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 13 2025,BONK,99061131386861.05,77961131386861.03,5300000000000.00,15800000000000.00,20061131386861.03,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 11 2025,BONK,99022810218977.80,77922810218977.81,5300000000000.00,15800000000000.00,20022810218977.82,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 10 2025,BONK,99003649635036.22,77903649635036.22,5300000000000.00,15800000000000.00,20003649635036.22,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
