Date,Symbol,Available Supply,Unlocked Supply,esGMX Rewards,Contributors,GMX:ETH Uniswap Pool,Marketing and Partnerships,Floor Price Fund,XVIX and Gambit migration
Aug 07 2028,GMX,13236693.55,13236693.55,1986693.55,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 04 2028,GMX,13235483.87,13235483.87,1985483.87,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 01 2028,GMX,13234274.19,13234274.19,1984274.19,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 29 2028,GMX,13233064.52,13233064.52,1983064.52,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 26 2028,GMX,13231854.84,13231854.84,1981854.84,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 23 2028,GMX,13230645.16,13230645.16,1980645.16,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 20 2028,GMX,13229435.48,13229435.48,1979435.48,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 17 2028,GMX,13228225.81,13228225.81,1978225.81,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 14 2028,GMX,13227016.13,13227016.13,1977016.13,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 11 2028,GMX,13225806.45,13225806.45,1975806.45,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 08 2028,GMX,13224583.33,13224583.33,1974583.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 05 2028,GMX,13223333.33,13223333.33,1973333.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jul 02 2028,GMX,13222083.33,13222083.33,1972083.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 29 2028,GMX,13220833.33,13220833.33,1970833.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 26 2028,GMX,13219583.33,13219583.33,1969583.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
