Date,Symbol,Available Supply,Unlocked Supply,Liquidity Incentives,Team,Investors,Ecosystem Fund,Advisors,Liquidity Bootstrapping
Jun 16 2030,PENDLE,373918575.65,373918575.65,150087076.65,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jun 12 2030,PENDLE,373868171.30,373868171.30,150036672.30,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jun 08 2030,PENDLE,373817766.95,373817766.95,149986267.95,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jun 04 2030,PENDLE,373767362.60,373767362.60,149935863.60,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 31 2030,PENDLE,373716958.25,373716958.25,149885459.25,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 27 2030,PENDLE,373666553.89,373666553.89,149835054.89,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 23 2030,PENDLE,373616149.54,373616149.54,149784650.54,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 19 2030,PENDLE,373565745.19,373565745.19,149734246.19,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 15 2030,PENDLE,373515340.84,373515340.84,149683841.84,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 11 2030,PENDLE,373464936.49,373464936.49,149633437.49,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 07 2030,PENDLE,373414532.14,373414532.14,149583033.14,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
May 03 2030,PENDLE,373364127.78,373364127.78,149532628.78,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 29 2030,PENDLE,373313723.43,373313723.43,149482224.43,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 25 2030,PENDLE,373263319.08,373263319.08,149431820.08,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 21 2030,PENDLE,373212914.73,373212914.73,149381415.73,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 17 2030,PENDLE,373162510.38,373162510.38,149331011.38,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 13 2030,PENDLE,373112106.03,373112106.03,149280607.03,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 09 2030,PENDLE,373061701.67,373061701.67,149230202.67,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 05 2030,PENDLE,373011297.32,373011297.32,149179798.32,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Apr 01 2030,PENDLE,372960892.97,372960892.97,149129393.97,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Mar 28 2030,PENDLE,372910488.62,372910488.62,149078989.62,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Mar 24 2030,PENDLE,372860084.27,372860084.27,149028585.27,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Mar 20 2030,PENDLE,372809679.92,372809679.92,148978180.92,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Mar 16 2030,PENDLE,372759275.56,372759275.56,148927776.56,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Mar 12 2030,PENDLE,372708871.21,372708871.21,148877372.21,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Mar 08 2030,PENDLE,372658466.86,372658466.86,148826967.86,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Mar 04 2030,PENDLE,372608062.51,372608062.51,148776563.51,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Mar 01 2030,PENDLE,372570259.25,372570259.25,148738760.25,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Feb 25 2030,PENDLE,372519854.89,372519854.89,148688355.89,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Feb 21 2030,PENDLE,372469450.54,372469450.54,148637951.54,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Feb 17 2030,PENDLE,372419046.19,372419046.19,148587547.19,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Feb 13 2030,PENDLE,372368641.84,372368641.84,148537142.84,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Feb 09 2030,PENDLE,372318237.49,372318237.49,148486738.49,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Feb 05 2030,PENDLE,372267833.14,372267833.14,148436334.14,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Feb 01 2030,PENDLE,372217428.78,372217428.78,148385929.78,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jan 28 2030,PENDLE,372167024.43,372167024.43,148335525.43,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jan 24 2030,PENDLE,372116620.08,372116620.08,148285121.08,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
