Date,Symbol,Available Supply,Unlocked Supply,Project Development,Node Emissions,Ecosystem Fund,Strategic Reserve,TGE & Liquidity Provision
Mar 09 2049,MYRIA,49997760652.32,49997760652.32,9500000000.00,17997760652.32,20000000000.00,1000000000.00,1500000000.00
Feb 26 2049,MYRIA,49997727588.14,49997727588.14,9500000000.00,17997727588.14,20000000000.00,1000000000.00,1500000000.00
Feb 14 2049,MYRIA,49997691518.13,49997691518.13,9500000000.00,17997691518.13,20000000000.00,1000000000.00,1500000000.00
Feb 03 2049,MYRIA,49997658453.95,49997658453.95,9500000000.00,17997658453.95,20000000000.00,1000000000.00,1500000000.00
Jan 23 2049,MYRIA,49997625389.77,49997625389.77,9500000000.00,17997625389.77,20000000000.00,1000000000.00,1500000000.00
Jan 12 2049,MYRIA,49997592325.59,49997592325.59,9500000000.00,17997592325.59,20000000000.00,1000000000.00,1500000000.00
Dec 31 2048,MYRIA,49997556255.57,49997556255.57,9500000000.00,17997556255.57,20000000000.00,1000000000.00,1500000000.00
Dec 20 2048,MYRIA,49997523191.40,49997523191.40,9500000000.00,17997523191.39,20000000000.00,1000000000.00,1500000000.00
Dec 09 2048,MYRIA,49997490127.22,49997490127.22,9500000000.00,17997490127.22,20000000000.00,1000000000.00,1500000000.00
Nov 28 2048,MYRIA,49997457063.04,49997457063.04,9500000000.00,17997457063.04,20000000000.00,1000000000.00,1500000000.00
Nov 17 2048,MYRIA,49997423998.86,49997423998.86,9500000000.00,17997423998.86,20000000000.00,1000000000.00,1500000000.00
Nov 05 2048,MYRIA,49997387928.84,49997387928.84,9500000000.00,17997387928.84,20000000000.00,1000000000.00,1500000000.00
Oct 25 2048,MYRIA,49997354864.67,49997354864.67,9500000000.00,17997354864.66,20000000000.00,1000000000.00,1500000000.00
Oct 14 2048,MYRIA,49997321800.49,49997321800.49,9500000000.00,17997321800.49,20000000000.00,1000000000.00,1500000000.00
Oct 03 2048,MYRIA,49997288736.31,49997288736.31,9500000000.00,17997288736.31,20000000000.00,1000000000.00,1500000000.00
Sep 21 2048,MYRIA,49997252666.29,49997252666.29,9500000000.00,17997252666.29,20000000000.00,1000000000.00,1500000000.00
Sep 10 2048,MYRIA,49997219602.11,49997219602.11,9500000000.00,17997219602.11,20000000000.00,1000000000.00,1500000000.00
