Date,Symbol,Available Supply,Unlocked Supply,Foundation,Team,Staking Rewards,Ecosystem,Advisors,Private Investors,Binance IEO Investors
Dec 18 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Dec 16 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Dec 14 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Dec 12 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Dec 10 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Dec 08 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Dec 05 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Dec 03 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Dec 01 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Nov 29 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Nov 27 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Nov 25 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Nov 23 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Nov 21 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Nov 18 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Nov 16 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Nov 14 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Nov 12 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Nov 10 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Nov 08 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Nov 06 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Nov 04 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Nov 01 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Oct 30 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Oct 28 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Oct 26 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Oct 24 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Oct 22 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
