Date,Symbol,Available Supply,Unlocked Supply,Decentraland DAO,Decentraland Foundation,Team,Crowdsale
May 07 2029,MANA,1903944815.67,1903944815.67,204182936.83,204182936.83,375578942.00,1120000000.00
May 02 2029,MANA,1903337760.70,1903337760.70,203879409.35,203879409.35,375578942.00,1120000000.00
Apr 26 2029,MANA,1902609294.75,1902609294.75,203515176.37,203515176.37,375578942.00,1120000000.00
Apr 21 2029,MANA,1902002239.79,1902002239.79,203211648.89,203211648.89,375578942.00,1120000000.00
Apr 16 2029,MANA,1901395184.82,1901395184.82,202908121.41,202908121.41,375578942.00,1120000000.00
Apr 11 2029,MANA,1900788129.86,1900788129.86,202604593.93,202604593.93,375578942.00,1120000000.00
Apr 06 2029,MANA,1900181074.90,1900181074.90,202301066.45,202301066.45,375578942.00,1120000000.00
Mar 31 2029,MANA,1899452608.94,1899452608.94,201936833.47,201936833.47,375578942.00,1120000000.00
Mar 26 2029,MANA,1898845553.98,1898845553.98,201633305.99,201633305.99,375578942.00,1120000000.00
Mar 21 2029,MANA,1898238499.01,1898238499.01,201329778.51,201329778.51,375578942.00,1120000000.00
Mar 16 2029,MANA,1897631444.05,1897631444.05,201026251.03,201026251.03,375578942.00,1120000000.00
Mar 10 2029,MANA,1896902978.10,1896902978.10,200662018.05,200662018.05,375578942.00,1120000000.00
Mar 05 2029,MANA,1896295923.13,1896295923.13,200358490.57,200358490.57,375578942.00,1120000000.00
Feb 28 2029,MANA,1895688868.17,1895688868.17,200054963.08,200054963.08,375578942.00,1120000000.00
Feb 23 2029,MANA,1895081813.21,1895081813.21,199751435.60,199751435.60,375578942.00,1120000000.00
Feb 17 2029,MANA,1894353347.25,1894353347.25,199387202.63,199387202.63,375578942.00,1120000000.00
Feb 12 2029,MANA,1893746292.29,1893746292.29,199083675.14,199083675.14,375578942.00,1120000000.00
Feb 07 2029,MANA,1893139237.32,1893139237.32,198780147.66,198780147.66,375578942.00,1120000000.00
Feb 02 2029,MANA,1892532182.36,1892532182.36,198476620.18,198476620.18,375578942.00,1120000000.00
Jan 28 2029,MANA,1891925127.40,1891925127.40,198173092.70,198173092.70,375578942.00,1120000000.00
Jan 22 2029,MANA,1891196661.44,1891196661.44,197808859.72,197808859.72,375578942.00,1120000000.00
Jan 17 2029,MANA,1890589606.48,1890589606.48,197505332.24,197505332.24,375578942.00,1120000000.00
Jan 12 2029,MANA,1889982551.52,1889982551.52,197201804.76,197201804.76,375578942.00,1120000000.00
Jan 07 2029,MANA,1889375496.55,1889375496.55,196898277.28,196898277.28,375578942.00,1120000000.00
Jan 01 2029,MANA,1888647030.60,1888647030.60,196534044.30,196534044.30,375578942.00,1120000000.00
Dec 27 2028,MANA,1888039975.63,1888039975.63,196230516.82,196230516.82,375578942.00,1120000000.00
Dec 22 2028,MANA,1887432920.67,1887432920.67,195926989.34,195926989.34,375578942.00,1120000000.00
Dec 17 2028,MANA,1886825865.71,1886825865.71,195623461.85,195623461.85,375578942.00,1120000000.00
Dec 11 2028,MANA,1886097399.75,1886097399.75,195259228.88,195259228.88,375578942.00,1120000000.00
Dec 06 2028,MANA,1885490344.79,1885490344.79,194955701.39,194955701.39,375578942.00,1120000000.00
Dec 01 2028,MANA,1884883289.83,1884883289.83,194652173.91,194652173.91,375578942.00,1120000000.00
Nov 26 2028,MANA,1884276234.86,1884276234.86,194348646.43,194348646.43,375578942.00,1120000000.00
Nov 20 2028,MANA,1883547768.91,1883547768.91,193984413.45,193984413.45,375578942.00,1120000000.00
Nov 15 2028,MANA,1882940713.94,1882940713.94,193680885.97,193680885.97,375578942.00,1120000000.00
Nov 10 2028,MANA,1882333658.98,1882333658.98,193377358.49,193377358.49,375578942.00,1120000000.00
Nov 05 2028,MANA,1881726604.02,1881726604.02,193073831.01,193073831.01,375578942.00,1120000000.00
Oct 31 2028,MANA,1881119549.05,1881119549.05,192770303.53,192770303.53,375578942.00,1120000000.00
Oct 25 2028,MANA,1880391083.10,1880391083.10,192406070.55,192406070.55,375578942.00,1120000000.00
Oct 20 2028,MANA,1879784028.14,1879784028.14,192102543.07,192102543.07,375578942.00,1120000000.00
