Date,Symbol,Available Supply,Unlocked Supply,Community Issuance,Team and Advisors,Service Providers,Liquity AG Endowment,Investors,LUSD:ETH Uniswap LPs,Community Reserve
Jun 13 2035,LQTY,99998230.99,99998230.99,31998230.99,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 07 2035,LQTY,99998214.98,99998214.98,31998214.98,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 01 2035,LQTY,99998198.97,99998198.97,31998198.97,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
May 26 2035,LQTY,99998182.96,99998182.96,31998182.96,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
May 19 2035,LQTY,99998164.28,99998164.28,31998164.28,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
May 13 2035,LQTY,99998148.27,99998148.27,31998148.27,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
May 07 2035,LQTY,99998132.26,99998132.26,31998132.26,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
May 01 2035,LQTY,99998116.25,99998116.25,31998116.25,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Apr 24 2035,LQTY,99998097.58,99998097.58,31998097.58,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Apr 18 2035,LQTY,99998081.57,99998081.57,31998081.57,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Apr 12 2035,LQTY,99998065.56,99998065.56,31998065.56,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Apr 06 2035,LQTY,99998049.55,99998049.55,31998049.55,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Mar 30 2035,LQTY,99998014.77,99998014.77,31998014.77,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Mar 24 2035,LQTY,99997982.67,99997982.67,31997982.67,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Mar 18 2035,LQTY,99997950.56,99997950.56,31997950.56,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Mar 12 2035,LQTY,99997918.46,99997918.46,31997918.46,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Mar 05 2035,LQTY,99997881.00,99997881.00,31997881.00,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Feb 27 2035,LQTY,99997848.89,99997848.89,31997848.89,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Feb 21 2035,LQTY,99997816.79,99997816.79,31997816.79,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Feb 15 2035,LQTY,99997784.68,99997784.68,31997784.68,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Feb 08 2035,LQTY,99997747.22,99997747.22,31997747.22,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
