Date,Symbol,Available Supply,Unlocked Supply,Treasury & Ecosystem,Development & Team,Presale,NFT Staking,Staking Reward,Liquidity Management,Airdrop
Apr 19 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 18 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 17 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 16 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 15 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 14 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 13 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 12 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 11 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 10 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 09 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 08 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 07 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 07 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 06 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 05 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 04 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 03 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 02 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 01 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 31 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 30 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 29 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 28 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 27 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 26 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 25 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 24 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 23 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 22 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 21 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
