Date,Symbol,Available Supply,Unlocked Supply,Team and Future Employees,Private Investors,Public Sale,Community Development
Jan 26 2025,GEL,402982124.09,402982124.09,87464624.09,88344900.00,16827600.00,210345000.00
Jan 25 2025,GEL,402905355.84,402905355.84,87387855.84,88344900.00,16827600.00,210345000.00
Jan 23 2025,GEL,402751819.34,402751819.34,87234319.34,88344900.00,16827600.00,210345000.00
Jan 21 2025,GEL,402598282.85,402598282.85,87080782.85,88344900.00,16827600.00,210345000.00
Jan 20 2025,GEL,402521514.60,402521514.60,87004014.60,88344900.00,16827600.00,210345000.00
Jan 18 2025,GEL,402367978.10,402367978.10,86850478.10,88344900.00,16827600.00,210345000.00
Jan 16 2025,GEL,402214441.61,402214441.61,86696941.61,88344900.00,16827600.00,210345000.00
Jan 14 2025,GEL,402060905.11,402060905.11,86543405.11,88344900.00,16827600.00,210345000.00
Jan 13 2025,GEL,401984136.86,401984136.86,86466636.86,88344900.00,16827600.00,210345000.00
Jan 11 2025,GEL,401830600.36,401830600.36,86313100.36,88344900.00,16827600.00,210345000.00
Jan 09 2025,GEL,401677063.87,401677063.87,86159563.87,88344900.00,16827600.00,210345000.00
Jan 07 2025,GEL,401523527.37,401523527.37,86006027.37,88344900.00,16827600.00,210345000.00
Jan 06 2025,GEL,401446759.12,401446759.12,85929259.12,88344900.00,16827600.00,210345000.00
Jan 04 2025,GEL,401293222.63,401293222.63,85775722.63,88344900.00,16827600.00,210345000.00
Jan 02 2025,GEL,401139686.13,401139686.13,85622186.13,88344900.00,16827600.00,210345000.00
Dec 31 2024,GEL,400986149.64,400986149.64,85468649.64,88344900.00,16827600.00,210345000.00
Dec 30 2024,GEL,400909381.39,400909381.39,85391881.39,88344900.00,16827600.00,210345000.00
Dec 28 2024,GEL,400755844.89,400755844.89,85238344.89,88344900.00,16827600.00,210345000.00
Dec 26 2024,GEL,400602308.39,400602308.39,85084808.39,88344900.00,16827600.00,210345000.00
Dec 24 2024,GEL,400448771.90,400448771.90,84931271.90,88344900.00,16827600.00,210345000.00
Dec 23 2024,GEL,400372003.65,400372003.65,84854503.65,88344900.00,16827600.00,210345000.00
Dec 21 2024,GEL,400218467.15,400218467.15,84700967.15,88344900.00,16827600.00,210345000.00
Dec 19 2024,GEL,400064930.66,400064930.66,84547430.66,88344900.00,16827600.00,210345000.00
Dec 17 2024,GEL,399911394.16,399911394.16,84393894.16,88344900.00,16827600.00,210345000.00
Dec 16 2024,GEL,399834625.91,399834625.91,84317125.91,88344900.00,16827600.00,210345000.00
Dec 14 2024,GEL,399681089.42,399681089.42,84163589.42,88344900.00,16827600.00,210345000.00
Dec 12 2024,GEL,399527552.92,399527552.92,84010052.92,88344900.00,16827600.00,210345000.00
Dec 10 2024,GEL,399374016.42,399374016.42,83856516.42,88344900.00,16827600.00,210345000.00
Dec 09 2024,GEL,399297248.18,399297248.18,83779748.18,88344900.00,16827600.00,210345000.00
Dec 07 2024,GEL,399143711.68,399143711.68,83626211.68,88344900.00,16827600.00,210345000.00
Dec 05 2024,GEL,398990175.18,398990175.18,83472675.18,88344900.00,16827600.00,210345000.00
Dec 03 2024,GEL,398836638.69,398836638.69,83319138.69,88344900.00,16827600.00,210345000.00
Dec 02 2024,GEL,398759870.44,398759870.44,83242370.44,88344900.00,16827600.00,210345000.00
Nov 30 2024,GEL,398606333.94,398606333.94,83088833.94,88344900.00,16827600.00,210345000.00
Nov 28 2024,GEL,398452797.45,398452797.45,82935297.45,88344900.00,16827600.00,210345000.00
Nov 27 2024,GEL,398376029.20,398376029.20,82858529.20,88344900.00,16827600.00,210345000.00
Nov 25 2024,GEL,398222492.70,398222492.70,82704992.70,88344900.00,16827600.00,210345000.00
Nov 23 2024,GEL,398068956.20,398068956.20,82551456.20,88344900.00,16827600.00,210345000.00
Nov 21 2024,GEL,397915419.71,397915419.71,82397919.71,88344900.00,16827600.00,210345000.00
Nov 20 2024,GEL,397838651.46,397838651.46,82321151.46,88344900.00,16827600.00,210345000.00
Nov 18 2024,GEL,397685114.96,397685114.96,82167614.96,88344900.00,16827600.00,210345000.00
Nov 16 2024,GEL,397531578.47,397531578.47,82014078.47,88344900.00,16827600.00,210345000.00
Nov 14 2024,GEL,397378041.97,397378041.97,81860541.97,88344900.00,16827600.00,210345000.00
Nov 13 2024,GEL,397301273.72,397301273.72,81783773.72,88344900.00,16827600.00,210345000.00
Nov 11 2024,GEL,397147737.23,397147737.23,81630237.23,88344900.00,16827600.00,210345000.00
Nov 09 2024,GEL,396994200.73,396994200.73,81476700.73,88344900.00,16827600.00,210345000.00
Nov 07 2024,GEL,396840664.23,396840664.23,81323164.23,88344900.00,16827600.00,210345000.00
Nov 06 2024,GEL,396763895.99,396763895.99,81246395.99,88344900.00,16827600.00,210345000.00
Nov 04 2024,GEL,396610359.49,396610359.49,81092859.49,88344900.00,16827600.00,210345000.00
Nov 02 2024,GEL,396456822.99,396456822.99,80939322.99,88344900.00,16827600.00,210345000.00
Oct 31 2024,GEL,396303286.50,396303286.50,80785786.50,88344900.00,16827600.00,210345000.00
Oct 30 2024,GEL,396226518.25,396226518.25,80709018.25,88344900.00,16827600.00,210345000.00
