Date,Symbol,Available Supply,Unlocked Supply,AGIX-ADA Utility,Campaign Supporters,SingularityNET Foundation,Founders,Reward Pool,Token Sale
Aug 02 2046,AGIX,1989893190.70,1989893190.70,989893190.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 21 2046,AGIX,1989739279.90,1989739279.90,989739279.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 10 2046,AGIX,1989739279.90,1989739279.90,989739279.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 29 2046,AGIX,1989739279.90,1989739279.90,989739279.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 18 2046,AGIX,1989583025.30,1989583025.30,989583025.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 07 2046,AGIX,1989583025.30,1989583025.30,989583025.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 26 2046,AGIX,1989424391.10,1989424391.10,989424391.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 15 2046,AGIX,1989424391.10,1989424391.10,989424391.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 04 2046,AGIX,1989424391.10,1989424391.10,989424391.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 23 2046,AGIX,1989263341.30,1989263341.30,989263341.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 11 2046,AGIX,1989263341.30,1989263341.30,989263341.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 31 2046,AGIX,1989263341.30,1989263341.30,989263341.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 20 2046,AGIX,1989099838.80,1989099838.80,989099838.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 09 2046,AGIX,1989099838.80,1989099838.80,989099838.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 26 2046,AGIX,1988933846.50,1988933846.50,988933846.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 14 2046,AGIX,1988933846.50,1988933846.50,988933846.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 03 2046,AGIX,1988933846.50,1988933846.50,988933846.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 23 2046,AGIX,1988765326.40,1988765326.40,988765326.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 12 2046,AGIX,1988765326.40,1988765326.40,988765326.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 31 2045,AGIX,1988765326.40,1988765326.40,988765326.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 20 2045,AGIX,1988594240.00,1988594240.00,988594240.00,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 09 2045,AGIX,1988594240.00,1988594240.00,988594240.00,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 28 2045,AGIX,1988594240.00,1988594240.00,988594240.00,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
