Date,Symbol,Price,Available Supply,Unlocked Supply,Investors,Team,Protocol Launch,Initial Emissions,DEXes,Bonding Curve,Community
Sep 11 2022,STG,$0.77,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 11 2022,STG,$0.77,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 11 2022,STG,$0.77,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 10 2022,STG,$0.79,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 10 2022,STG,$0.79,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 10 2022,STG,$0.79,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 10 2022,STG,$0.79,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 09 2022,STG,$0.81,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 09 2022,STG,$0.81,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 09 2022,STG,$0.81,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 09 2022,STG,$0.81,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 09 2022,STG,$0.81,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 08 2022,STG,$0.77,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 08 2022,STG,$0.77,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 08 2022,STG,$0.77,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 08 2022,STG,$0.77,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 08 2022,STG,$0.77,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 07 2022,STG,$0.62,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 07 2022,STG,$0.62,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 07 2022,STG,$0.62,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
