Date,Symbol,Price,Available Supply,Unlocked Supply,Ecosystem Development,Project Development,Private Sales,Public Sales 2,Public Sales 1,Foundation Reserve
Jan 13 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 12 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 12 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 12 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 11 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 11 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 11 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 11 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 10 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 10 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 10 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 10 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 09 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 09 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 09 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 08 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 08 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 08 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 08 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 07 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 07 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 07 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 06 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 06 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 06 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 06 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 05 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 05 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 05 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 05 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 04 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 04 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 04 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 03 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 03 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 03 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 03 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 02 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 02 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 02 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 01 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 01 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 01 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 01 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 31 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 31 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 31 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 30 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 30 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 30 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 30 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 29 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 29 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 29 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 29 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 28 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 28 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 28 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 27 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 27 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 27 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 27 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 26 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 26 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 26 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 25 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 25 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 25 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 25 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 24 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 24 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 24 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 24 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 23 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 23 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 23 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 22 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
