Date,Symbol,Price,Available Supply,Unlocked Supply,Team Managed Wallets (TBD),Team Managed Wallets,Public Token Sale
Aug 19 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 18 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 18 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 17 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 17 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 16 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 16 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 15 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 15 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 14 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 13 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 13 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 12 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 12 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 11 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 11 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 10 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 10 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 09 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 09 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 08 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 08 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 07 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 07 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 06 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 05 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 05 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 04 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 04 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 03 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 03 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 02 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 02 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 01 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 01 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 31 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 31 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
