Date,Symbol,Price,Available Supply,Unlocked Supply,Mining Reserve (TBD),Simple Minting,Baseline Minting,Protocol Labs Team and Contributors,Filecoin Foundation,Protocol Labs,Fundraising 36 months,Fundraising 24 months,Fundraising 12 months,Fundraising 6 months
Feb 05 2048,FIL,0,1995064810.59,1695064810.59,300000000.00,325064810.59,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 05 2048,FIL,0,1995064810.59,1695064810.59,300000000.00,325064810.59,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 04 2048,FIL,0,1995059790.05,1695059790.05,300000000.00,325059790.05,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 03 2048,FIL,0,1995054769.51,1695054769.51,300000000.00,325054769.51,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 02 2048,FIL,0,1995049748.97,1695049748.97,300000000.00,325049748.97,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 02 2048,FIL,0,1995049748.97,1695049748.97,300000000.00,325049748.97,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 01 2048,FIL,0,1995044728.43,1695044728.43,300000000.00,325044728.43,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 31 2048,FIL,0,1995039707.90,1695039707.90,300000000.00,325039707.90,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 31 2048,FIL,0,1995039707.90,1695039707.90,300000000.00,325039707.90,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 30 2048,FIL,0,1995034687.36,1695034687.36,300000000.00,325034687.36,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 29 2048,FIL,0,1995029666.82,1695029666.82,300000000.00,325029666.82,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 28 2048,FIL,0,1995024646.28,1695024646.28,300000000.00,325024646.28,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 28 2048,FIL,0,1995024646.28,1695024646.28,300000000.00,325024646.28,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 27 2048,FIL,0,1995019625.74,1695019625.74,300000000.00,325019625.74,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 26 2048,FIL,0,1995014605.20,1695014605.20,300000000.00,325014605.20,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 25 2048,FIL,0,1995009584.66,1695009584.66,300000000.00,325009584.66,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 25 2048,FIL,0,1995009584.66,1695009584.66,300000000.00,325009584.66,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 24 2048,FIL,0,1995004564.13,1695004564.13,300000000.00,325004564.13,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 23 2048,FIL,0,1994999543.59,1694999543.59,300000000.00,324999543.59,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 22 2048,FIL,0,1994994523.05,1694994523.05,300000000.00,324994523.05,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 22 2048,FIL,0,1994994523.05,1694994523.05,300000000.00,324994523.05,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 21 2048,FIL,0,1994989502.51,1694989502.51,300000000.00,324989502.51,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 20 2048,FIL,0,1994984481.97,1694984481.97,300000000.00,324984481.97,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 19 2048,FIL,0,1994979461.43,1694979461.43,300000000.00,324979461.43,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 19 2048,FIL,0,1994979461.43,1694979461.43,300000000.00,324979461.43,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 18 2048,FIL,0,1994974440.89,1694974440.89,300000000.00,324974440.89,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 17 2048,FIL,0,1994969420.36,1694969420.36,300000000.00,324969420.36,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
