Date,Symbol,Price,Available Supply,Unlocked Supply,Liquidity Mining,Founder advisors investor,Initial Liquidity Mining,Options,Ecosystem,Fundraising
Jun 01 2047,BAL,0,100545599.87,100545599.87,60110599.87,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 31 2047,BAL,0,100545328.45,100545328.45,60110328.45,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 30 2047,BAL,0,100545057.03,100545057.03,60110057.03,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 29 2047,BAL,0,100544785.61,100544785.61,60109785.61,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 28 2047,BAL,0,100544514.19,100544514.19,60109514.19,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 27 2047,BAL,0,100544242.77,100544242.77,60109242.77,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 27 2047,BAL,0,100544242.77,100544242.77,60109242.77,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 26 2047,BAL,0,100543971.35,100543971.35,60108971.35,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 25 2047,BAL,0,100543699.93,100543699.93,60108699.93,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 24 2047,BAL,0,100543428.51,100543428.51,60108428.51,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 23 2047,BAL,0,100543157.09,100543157.09,60108157.09,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 22 2047,BAL,0,100542885.67,100542885.67,60107885.67,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 21 2047,BAL,0,100542614.25,100542614.25,60107614.25,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 20 2047,BAL,0,100542342.83,100542342.83,60107342.83,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 19 2047,BAL,0,100542071.40,100542071.40,60107071.40,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 18 2047,BAL,0,100541799.98,100541799.98,60106799.98,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 17 2047,BAL,0,100541528.56,100541528.56,60106528.56,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
