Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved
Apr 07 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 07 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 06 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 06 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 06 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 05 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 05 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 05 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 04 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 04 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 04 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 03 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 03 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 03 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 02 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 02 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 02 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 02 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 01 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 01 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 01 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 31 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 31 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
